player_name,primary_role,boss_id,boss_name,percentile,ilevel,spec,metric,ranking_date
Vaelyra,damage,2063,Aggramar,59,974,Havoc,hps,1524630281068
Vaelyra,damage,2064,Portal Keeper Hasabel,51,973,Havoc,hps,1521079882001
Vaelyra,damage,2069,Varimathras,8,965,Vengeance,hps,1522896515498
Vaelyra,damage,2070,Antoran High Command,71,961,Havoc,hps,1517980921959
Vaelyra,damage,2073,The Coven of Shivarra,18,974,Havoc,hps,1522901008745
Vaelyra,damage,2074,Felhounds of Sargeras,89,974,Havoc,hps,1522808393108
Vaelyra,damage,2075,The Defense of Eonar,38,973,Havoc,hps,1520398228358
Vaelyra,damage,2076,Garothi Worldbreaker,90,949,Havoc,hps,1512712039198
Vaelyra,damage,2082,Imonar the Soulhunter,99,973,Havoc,hps,1520401314116
Vaelyra,damage,2088,Kin'garoth,79,974,Havoc,hps,1521605014073
Vaelyra,damage,2063,Aggramar,75,974,Havoc,dps,1524630281068
Vaelyra,damage,2064,Portal Keeper Hasabel,75,971,Havoc,dps,1520396684567
Vaelyra,damage,2069,Varimathras,24,963,Vengeance,dps,1520569397568
Vaelyra,damage,2070,Antoran High Command,56,963,Havoc,dps,1519793441868
Vaelyra,damage,2073,The Coven of Shivarra,70,974,Havoc,dps,1522376934318
Vaelyra,damage,2074,Felhounds of Sargeras,91,974,Havoc,dps,1523499180913
Vaelyra,damage,2075,The Defense of Eonar,77,973,Havoc,dps,1521002530175
Vaelyra,damage,2076,Garothi Worldbreaker,79,961,Havoc,dps,1517979484801
Vaelyra,damage,2082,Imonar the Soulhunter,57,963,Havoc,dps,1519876812409
Vaelyra,damage,2088,Kin'garoth,60,974,Havoc,dps,1521605014073
Vaelyra,damage,2063,Aggramar,84,974,Havoc,tankhps,1524630281068
Vaelyra,damage,2064,Portal Keeper Hasabel,99,959,Havoc,tankhps,1516252872076
Vaelyra,damage,2069,Varimathras,8,965,Vengeance,tankhps,1522896515498
Vaelyra,damage,2070,Antoran High Command,82,973,Havoc,tankhps,1520395725301
Vaelyra,damage,2073,The Coven of Shivarra,75,974,Havoc,tankhps,1521687707637
Vaelyra,damage,2074,Felhounds of Sargeras,80,953,Havoc,tankhps,1513834010309
Vaelyra,damage,2075,The Defense of Eonar,90,959,Havoc,tankhps,1516334842591
Vaelyra,damage,2076,Garothi Worldbreaker,96,953,Havoc,tankhps,1513828848451
Vaelyra,damage,2082,Imonar the Soulhunter,95,974,Havoc,tankhps,1522205659716
Vaelyra,damage,2088,Kin'garoth,75,963,Havoc,tankhps,1519277566021
Metonymy,damage,2063,Aggramar,19,979,Fire,hps,1524630281068
Metonymy,damage,2064,Portal Keeper Hasabel,56,970,Fire,hps,1516849859958
Metonymy,damage,2069,Varimathras,17,978,Fire,hps,1521607425341
Metonymy,damage,2070,Antoran High Command,25,969,Fire,hps,1517376924206
Metonymy,damage,2073,The Coven of Shivarra,11,979,Fire,hps,1522901008745
Metonymy,damage,2074,Felhounds of Sargeras,93,954,Fire,hps,1513307636011
Metonymy,damage,2075,The Defense of Eonar,28,970,Fire,hps,1516852272031
Metonymy,damage,2076,Garothi Worldbreaker,95,972,Fire,hps,1518577683075
Metonymy,damage,2082,Imonar the Soulhunter,86,973,Fire,hps,1519876812409
Metonymy,damage,2088,Kin'garoth,22,980,Fire,hps,1522894708677
Metonymy,damage,2063,Aggramar,25,979,Fire,dps,1524630281068
Metonymy,damage,2064,Portal Keeper Hasabel,85,975,Fire,dps,1520396684567
Metonymy,damage,2069,Varimathras,80,979,Fire,dps,1523418451728
Metonymy,damage,2070,Antoran High Command,74,973,Fire,dps,1519188706862
Metonymy,damage,2073,The Coven of Shivarra,64,979,Fire,dps,1522376934318
Metonymy,damage,2074,Felhounds of Sargeras,86,979,Fire,dps,1523499180913
Metonymy,damage,2075,The Defense of Eonar,71,975,Fire,dps,1520398228358
Metonymy,damage,2076,Garothi Worldbreaker,91,979,Fire,dps,1523412517978
Metonymy,damage,2082,Imonar the Soulhunter,73,971,Fire,dps,1518756782147
Metonymy,damage,2088,Kin'garoth,60,980,Fire,dps,1523416330465
Metonymy,damage,2063,Aggramar,99,979,Fire,tankhps,1524630281068
Metonymy,damage,2064,Portal Keeper Hasabel,99,961,Fire,tankhps,1515130363055
Metonymy,damage,2069,Varimathras,100,976,Fire,tankhps,1520569397568
Metonymy,damage,2070,Antoran High Command,99,961,Fire,tankhps,1515122898246
Metonymy,damage,2073,The Coven of Shivarra,99,978,Fire,tankhps,1521687707637
Metonymy,damage,2074,Felhounds of Sargeras,99,954,Fire,tankhps,1513307636011
Metonymy,damage,2075,The Defense of Eonar,100,963,Fire,tankhps,1515733013436
Metonymy,damage,2076,Garothi Worldbreaker,100,953,Fire,tankhps,1512712039198
Metonymy,damage,2082,Imonar the Soulhunter,99,968,Fire,tankhps,1517464313373
Metonymy,damage,2088,Kin'garoth,99,974,Fire,tankhps,1519277566021
Brian,damage,2063,Aggramar,97,971,Marksmanship,hps,1524630281068
Brian,damage,2064,Portal Keeper Hasabel,56,965,Marksmanship,hps,1519794868091
Brian,damage,2069,Varimathras,85,969,Marksmanship,hps,1521607425341
Brian,damage,2070,Antoran High Command,36,965,Marksmanship,hps,1519188706862
Brian,damage,2073,The Coven of Shivarra,96,970,Marksmanship,hps,1523421264349
Brian,damage,2074,Felhounds of Sargeras,24,964,Beast Mastery,hps,1519791952922
Brian,damage,2074,Felhounds of Sargeras,85,970,Marksmanship,hps,1522808393108
Brian,damage,2075,The Defense of Eonar,68,965,Marksmanship,hps,1523500679659
Brian,damage,2076,Garothi Worldbreaker,83,970,Marksmanship,hps,1522807798544
Brian,damage,2076,Garothi Worldbreaker,61,965,Survival,hps,1523412517978
Brian,damage,2082,Imonar the Soulhunter,98,964,Marksmanship,hps,1518756782147
Brian,damage,2088,Kin'garoth,92,970,Marksmanship,hps,1519961880739
Brian,damage,2063,Aggramar,41,971,Marksmanship,dps,1524630281068
Brian,damage,2064,Portal Keeper Hasabel,71,971,Marksmanship,dps,1520396684567
Brian,damage,2069,Varimathras,90,969,Marksmanship,dps,1522292673441
Brian,damage,2070,Antoran High Command,90,971,Marksmanship,dps,1520395725301
Brian,damage,2073,The Coven of Shivarra,73,969,Marksmanship,dps,1522376934318
Brian,damage,2074,Felhounds of Sargeras,84,961,Beast Mastery,dps,1519187697625
Brian,damage,2074,Felhounds of Sargeras,95,971,Marksmanship,dps,1523499180913
Brian,damage,2075,The Defense of Eonar,90,961,Marksmanship,dps,1521600980965
Brian,damage,2076,Garothi Worldbreaker,96,968,Marksmanship,dps,1520998041848
Brian,damage,2076,Garothi Worldbreaker,18,965,Survival,dps,1523412517978
Brian,damage,2082,Imonar the Soulhunter,95,970,Marksmanship,dps,1522813327487
Brian,damage,2088,Kin'garoth,81,970,Marksmanship,dps,1523416330465
Brian,damage,2063,Aggramar,99,971,Marksmanship,tankhps,1524630281068
Brian,damage,2064,Portal Keeper Hasabel,99,960,Marksmanship,tankhps,1517455706753
Brian,damage,2069,Varimathras,99,966,Marksmanship,tankhps,1520569397568
Brian,damage,2070,Antoran High Command,99,961,Marksmanship,tankhps,1517980921959
Brian,damage,2073,The Coven of Shivarra,99,969,Marksmanship,tankhps,1521687707637
Brian,damage,2074,Felhounds of Sargeras,90,955,Beast Mastery,tankhps,1517980075296
Brian,damage,2074,Felhounds of Sargeras,99,971,Marksmanship,tankhps,1520394938240
Brian,damage,2075,The Defense of Eonar,99,953,Marksmanship,tankhps,1517458306323
Brian,damage,2076,Garothi Worldbreaker,99,961,Marksmanship,tankhps,1517979484801
Brian,damage,2076,Garothi Worldbreaker,99,965,Survival,tankhps,1523412517978
Brian,damage,2082,Imonar the Soulhunter,99,959,Marksmanship,tankhps,1517464313373
Brian,damage,2088,Kin'garoth,99,965,Marksmanship,tankhps,1519277566021
Shaami,healer,2063,Aggramar,80,973,Restoration,hps,1525924317360
Shaami,healer,2064,Portal Keeper Hasabel,92,971,Restoration,hps,1518060210754
Shaami,healer,2069,Varimathras,86,975,Restoration,hps,1523324914601
Shaami,healer,2070,Antoran High Command,99,976,Restoration,hps,1526523545546
Shaami,healer,2073,The Coven of Shivarra,61,974,Feral,hps,1522111625185
Shaami,healer,2073,The Coven of Shivarra,65,976,Restoration,hps,1523497841205
Shaami,healer,2074,Felhounds of Sargeras,95,971,Restoration,hps,1518054155339
Shaami,healer,2074,Felhounds of Sargeras,57,974,Feral,hps,1523492120762
Shaami,healer,2075,The Defense of Eonar,95,967,Restoration,hps,1516073690253
Shaami,healer,2075,The Defense of Eonar,62,973,Feral,hps,1522890043324
Shaami,healer,2076,Garothi Worldbreaker,98,971,Restoration,hps,1518052359528
Shaami,healer,2076,Garothi Worldbreaker,56,973,Feral,hps,1522887280110
Shaami,healer,2082,Imonar the Soulhunter,95,974,Restoration,hps,1521076012921
Shaami,healer,2088,Kin'garoth,92,973,Restoration,hps,1519094639522
Shaami,healer,2088,Kin'garoth,64,973,Feral,hps,1522895250060
Shaami,healer,2063,Aggramar,20,973,Restoration,dps,1525924317360
Shaami,healer,2064,Portal Keeper Hasabel,97,973,Restoration,dps,1519869524908
Shaami,healer,2069,Varimathras,43,975,Restoration,dps,1521688206524
Shaami,healer,2070,Antoran High Command,84,968,Restoration,dps,1516845350053
Shaami,healer,2073,The Coven of Shivarra,9,974,Feral,dps,1522111625185
Shaami,healer,2073,The Coven of Shivarra,40,976,Restoration,dps,1523497841205
Shaami,healer,2074,Felhounds of Sargeras,84,968,Restoration,dps,1516844321874
Shaami,healer,2074,Felhounds of Sargeras,67,974,Feral,dps,1523492120762
Shaami,healer,2075,The Defense of Eonar,76,975,Restoration,dps,1521679700836
Shaami,healer,2075,The Defense of Eonar,9,973,Feral,dps,1522890040046
Shaami,healer,2076,Garothi Worldbreaker,89,973,Restoration,dps,1520471713367
Shaami,healer,2076,Garothi Worldbreaker,72,973,Feral,dps,1522887280110
Shaami,healer,2082,Imonar the Soulhunter,91,975,Restoration,dps,1521682115832
Shaami,healer,2088,Kin'garoth,80,975,Restoration,dps,1521685273702
Shaami,healer,2088,Kin'garoth,20,973,Feral,dps,1522895250060
Shaami,healer,2063,Aggramar,71,973,Restoration,tankhps,1525924317360
Shaami,healer,2064,Portal Keeper Hasabel,94,971,Restoration,tankhps,1518060210754
Shaami,healer,2069,Varimathras,87,975,Restoration,tankhps,1523324914601
Shaami,healer,2070,Antoran High Command,83,976,Restoration,tankhps,1526523545546
Shaami,healer,2073,The Coven of Shivarra,95,974,Feral,tankhps,1521518074677
Shaami,healer,2073,The Coven of Shivarra,88,976,Restoration,tankhps,1523497841205
Shaami,healer,2074,Felhounds of Sargeras,87,975,Restoration,tankhps,1522113174908
Shaami,healer,2074,Felhounds of Sargeras,80,974,Feral,tankhps,1523492120762
Shaami,healer,2075,The Defense of Eonar,84,970,Restoration,tankhps,1517453935389
Shaami,healer,2075,The Defense of Eonar,80,973,Feral,tankhps,1522890043324
Shaami,healer,2076,Garothi Worldbreaker,85,975,Restoration,tankhps,1522282295816
Shaami,healer,2076,Garothi Worldbreaker,90,973,Feral,tankhps,1522887280110
Shaami,healer,2082,Imonar the Soulhunter,79,974,Restoration,tankhps,1520474818768
Shaami,healer,2088,Kin'garoth,97,975,Restoration,tankhps,1522724969449
Shaami,healer,2088,Kin'garoth,90,973,Feral,tankhps,1522895253430
Petrol,damage,2063,Aggramar,61,979,Fire,hps,1524630281068
Petrol,damage,2064,Portal Keeper Hasabel,63,972,Fire,hps,1518580911747
Petrol,damage,2069,Varimathras,82,978,Fire,hps,1521607425341
Petrol,damage,2070,Antoran High Command,42,966,Fire,hps,1515642354665
Petrol,damage,2073,The Coven of Shivarra,34,979,Fire,hps,1523421264349
Petrol,damage,2074,Felhounds of Sargeras,82,971,Fire,hps,1517376003305
Petrol,damage,2075,The Defense of Eonar,80,971,Fire,hps,1517458306323
Petrol,damage,2076,Garothi Worldbreaker,96,972,Fire,hps,1518577683075
Petrol,damage,2082,Imonar the Soulhunter,97,972,Fire,hps,1518145906721
