player,primary_role,alt,tier_end,tier_start,start_date
Vedalken,healer,,,True,
Porblas,mdps,,,True,
Ameon,mdps,,,True,
Kustom,rdps,,,True,
Lilswig,rdps,,,True,
Renson,tank,,,True,
Korzara,healer,,,True,
Wixie,rdps,,,True,
Lisana,healer,,,True,
Veyl,rdps,,,True,
Matdémon,rdps,,,True,
Akroma,rdps,,,True,
Doublechin,tank,,,True,
Dazeroc,mdps,,,True,
Illestra,healer,,,True,
Oleoresin,rdps,,,True,
Rekcots,rdps,,,True,
Neoblade,healer,,,True,
Coldemort,rdps,,,True,
Draigo,tank,,,True,
Jaxsy,mdps,,,True,
Khamala,mdps,,,True,
Zanthalar,healer,,,True,
Dragonite,healer,,,True,
Elnul,rdps,,,False,2019-11-09
Psykhe,rdps,,,False,2019-11-15
Regmar,healer,,,False,2019-11-09
Sombrero,healer,,,False,2019-11-23
Chubblock,rdps,,,False,2019-11-09
Alaisiagae,rdps,,,False,2019-11-23
Lawli,healer,,,False,2019-11-23
Lareve,mdps,,,False,2019-11-15
Nexx,rdps,,,False,2019-11-23
Getscared,rdps,,,False,2019-11-23
Kenrith,rdps,,,False,2019-11-09
Roflmewafles,rdps,,,False,2019-11-23
