log_id,log_start,log_end,pull_start,pull_end,boss_id,boss_name
zFt6HpTRCXYDB31M,1580960000000.0,1580970000000.0,8764521,9136340,2334,Prophet Skitra
zFt6HpTRCXYDB31M,1580960000000.0,1580970000000.0,6616399,7287533,2329,Wrathion
ZB7pzRHNqJGCcjdn,1581050000000.0,1581050000000.0,4788013,5186552,2327,Maut
4JGwjCm1fVzQAY72,1581650000000.0,1581660000000.0,6361761,6735357,2333,The Hivemind
MvYTXGtcCLBx2FKr,1582250000000.0,1582260000000.0,9894744,10217490,2335,Shad'har the Insatiable
WJwFgjpzt7qLNC41,1583980000000.0,1583990000000.0,561018,905800,2328,Dark Inquisitor Xanesh
YP4gjvzfm6rLBGda,1584070000000.0,1584070000000.0,4286960,4719522,2336,Vexiona
AmQh6FHJgKZNbkTv,1586480000000.0,1586490000000.0,938743,1431629,2343,Drest'agath
BcKgzjnY4yF7kpVw,1587090000000.0,1587100000000.0,6445713,6720156,2331,Ra-den the Despoiled
paH4wMWxnJ6CrvL9,1588300000000.0,1588310000000.0,8168305,8732095,2345,"Il'gynoth, Corruption Reborn"
8YxQLTDAwNmKP4kR,1590030000000.0,1590040000000.0,9879828,10344005,2337,Carapace of N'Zoth
FrjL1t7XxQYJqf2d,1594780000000.0,1594780000000.0,954450,1638485,2344,N'Zoth the Corruptor
