player,hits,damage_taken,fight_count,primary_role,av_count
Divanance,631,7804351746,262,tank,2.4083969465648853
Vaelyra,512,2316947333,224,damage,2.2857142857142856
Velryssa,295,1568599828,132,damage,2.234848484848485
Cagliostro,535,2543288274,242,damage,2.2107438016528924
Stradivarus,551,3799002551,251,damage,2.195219123505976
Acturus,574,3831196961,262,healer,2.1908396946564888
Shallowfall,571,4220536377,262,damage,2.1793893129770994
Metonymy,515,3195250171,262,damage,1.965648854961832
Earrl,505,4433677650,262,tank,1.9274809160305344
Au,347,2034251379,191,damage,1.8167539267015707
Petrol,447,2210635412,262,damage,1.7061068702290076
Daffy,234,870621548,146,healer,1.6027397260273972
Illestra,388,1660517782,243,healer,1.5967078189300412
Brian,413,1813448432,262,damage,1.5763358778625953
Shadowbaine,328,1555718948,211,damage,1.5545023696682465
Mythrose,394,1904752495,262,healer,1.5038167938931297
Radiantldeal,350,2134736001,243,healer,1.440329218106996
Èllipses,243,986568815,170,damage,1.4294117647058824
Ayriea,327,1501254709,240,damage,1.3625
Future,312,1399018257,238,damage,1.3109243697478992
Psychodruid,235,1141351605,200,damage,1.175
Pulsè,110,516325974,143,damage,0.7692307692307693
