player,damage_taken,fight_count,primary_role,av_count
Earrl,917505046,260,tank,3528865.5615384616
Psychodruid,1337031547,259,damage,5162283.965250965
Velryssa,1213686417,215,damage,5645053.102325581
Eleint,1261611569,220,damage,5734598.040909091
Mythrose,1604055059,266,healer,6030282.17669173
Vaelyra,1795872255,288,damage,6235667.552083333
Cagliostro,1705613473,269,damage,6340570.531598513
Brian,1929154712,283,damage,6816801.102473498
Ayriea,2036123816,291,damage,6996989.058419244
Radiantldeal,1851200284,261,healer,7092721.394636015
Tawñ,2034346938,285,damage,7138059.431578947
Illestra,2057177254,283,healer,7269177.575971731
Uuglei,1453753613,199,damage,7305294.5376884425
Shadowbaine,2105724624,284,damage,7414523.3239436615
Shaami,1901817543,254,healer,7487470.641732284
Acturus,2074372797,275,healer,7543173.807272728
Divanance,2222611494,289,tank,7690697.211072665
Velsummers,1707832348,220,damage,7762874.30909091
Metonymy,2414406858,288,damage,8383357.145833333
Stradivarus,942292854,110,damage,8566298.672727272
Petrol,2695519808,288,damage,9359443.777777778
Shallowfall,2262360533,165,damage,13711275.957575757
