player,damage_taken,fight_count,primary_role,av_count
Shallowfall,17325791,513,damage,33773.47173489279
Psychodruid,2315770510,637,damage,3635432.51177394
Vaelyra,3009555156,654,damage,4601766.293577982
Acturus,3525004515,651,healer,5414753.479262672
Brian,3588975811,659,damage,5446093.7951441575
Mythrose,3567055851,643,healer,5547520.763608087
Radiantldeal,3677757182,639,healer,5755488.54773083
Tawñ,3108291931,520,damage,5977484.482692308
Shadowbaine,4114510542,658,damage,6253055.534954407
Cagliostro,3860699060,606,damage,6370790.528052805
Illestra,4339158462,661,healer,6564536.251134644
Stradivarus,2994937792,445,damage,6730197.285393259
Metonymy,4526051457,666,damage,6795873.058558558
Ayriea,4656582214,668,damage,6970931.458083833
Uuglei,2969657413,423,damage,7020466.697399527
Velryssa,3495549044,491,damage,7119244.488798371
Petrol,4771750091,668,damage,7143338.459580839
