player,damage_taken,fight_count,primary_role,av_count
Earrl,1167556651,260,tank,4490602.503846154
Vaelyra,3255030923,288,damage,11302190.704861112
Eleint,2829566286,220,damage,12861664.936363636
Tawñ,3691723494,285,damage,12953415.768421052
Psychodruid,3379749635,259,damage,13049226.38996139
Divanance,3916887108,289,tank,13553242.588235294
Shaami,3464932838,254,healer,13641467.866141733
Brian,3916870900,283,damage,13840533.215547703
Uuglei,2917950218,199,damage,14663066.422110552
Illestra,4238720868,283,healer,14977812.254416961
Ayriea,4366686020,291,damage,15005793.883161511
Mythrose,4226073668,266,healer,15887494.992481204
Cagliostro,4431113328,269,damage,16472540.252788104
Shadowbaine,4722488697,284,damage,16628481.32746479
Radiantldeal,4447777871,261,healer,17041294.524904214
Velsummers,3825734654,220,damage,17389702.972727273
Acturus,4840342458,275,healer,17601245.30181818
Velryssa,3842630431,215,damage,17872699.67906977
Petrol,5379763613,288,damage,18679734.767361112
Metonymy,5465481456,288,damage,18977366.166666668
Stradivarus,2430291188,110,damage,22093556.254545454
Shallowfall,4155633712,165,damage,25185658.86060606
