player,damage_taken,fight_count,primary_role,av_count
Ayriea,1277547165,291,damage,4390196.443298969
Earrl,1167556651,260,tank,4490602.503846154
Vaelyra,1366135355,288,damage,4743525.538194444
Illestra,1397288878,283,healer,4937416.530035336
Tawñ,1537284860,285,damage,5393981.96491228
Brian,1557107075,283,damage,5502145.141342756
Shadowbaine,1637589364,284,damage,5766159.7323943665
Velryssa,1258376277,215,damage,5852912.91627907
Shaami,1492345439,254,healer,5875375.744094488
Uuglei,1276233485,199,damage,6413233.592964824
Cagliostro,1830446071,269,damage,6804632.234200744
Eleint,1505185200,220,damage,6841750.909090909
Radiantldeal,1858050165,261,healer,7118966.149425288
Mythrose,2059381438,266,healer,7742035.4812030075
Velsummers,1721698639,220,damage,7825902.904545454
Metonymy,2272756549,288,damage,7891515.795138889
Stradivarus,929708721,110,damage,8451897.463636363
Petrol,2440154202,288,damage,8472757.645833334
Acturus,2453688314,275,healer,8922502.96
Psychodruid,2569141907,259,damage,9919466.822393822
Divanance,3916887108,289,tank,13553242.588235294
Shallowfall,4155633712,165,damage,25185658.86060606
