player,damage_taken,fight_count,primary_role,av_count
Eleint,58911682,220,damage,267780.37272727274
Brian,157393420,283,damage,556160.4946996466
Petrol,198781239,288,damage,690212.6354166666
Ayriea,208557462,291,damage,716692.3092783506
Acturus,224668681,275,healer,816977.0218181818
Tawñ,237646896,285,damage,833848.7578947368
Cagliostro,242597721,269,damage,901850.2639405205
Shaami,229610109,254,healer,903976.8070866142
Radiantldeal,272558677,261,healer,1044286.1187739463
Velryssa,238977687,215,damage,1111524.1255813953
Mythrose,297685635,266,healer,1119118.9285714286
Metonymy,342882146,288,damage,1190563.0069444445
Velsummers,278487225,220,damage,1265851.0227272727
Vaelyra,387987644,288,damage,1347179.3194444445
Stradivarus,155808026,110,damage,1416436.6
Illestra,440716185,283,healer,1557301.0070671379
Uuglei,326267818,199,damage,1639536.7738693468
Shadowbaine,471502701,284,damage,1660220.778169014
Psychodruid,848772150,259,damage,3277112.548262548
Earrl,1290185328,260,tank,4962251.261538462
Divanance,3485231496,289,tank,12059624.553633219
Shallowfall,2067763022,165,damage,12531897.103030303
