log_id,spell_id,spell_name,player,hits,damage_taken
1q8V234wXDhrRakC,246374,Shadow Blades,Shadowbaine,1,4672874
1q8V234wXDhrRakC,246374,Shadow Blades,Illestra,2,8173346
1q8V234wXDhrRakC,246374,Shadow Blades,Psychodruid,2,7998373
1q8V234wXDhrRakC,246374,Shadow Blades,Kyarrix,1,4120006
1q8V234wXDhrRakC,246374,Shadow Blades,Ayriea,1,4475254
1q8V234wXDhrRakC,246374,Shadow Blades,Radiantldeal,2,7943028
1q8V234wXDhrRakC,246374,Shadow Blades,Velryssa,1,4200156
1q8V234wXDhrRakC,246374,Shadow Blades,Future,1,4296878
1q8V234wXDhrRakC,246374,Shadow Blades,Shallowfall,1,3284273
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Earrl,1,2889686
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Pulsè,4,17371475
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Acturus,2,9291849
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Petrol,1,4498821
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Psychodruid,5,21278613
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Metonymy,6,26867889
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Stradivarus,3,14990088
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Brian,2,8947546
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Illestra,5,20595294
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Au,6,21436012
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Vaelyra,3,11664891
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Shallowfall,9,29132543
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Èllipses,4,16892829
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Divanance,2,6466846
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Future,1,4148173
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Radiantldeal,1,4023564
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Mythrose,4,16815532
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Cagliostro,2,8541194
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Shadowbaine,5,23076055
1VNCD6KjrLg2wFGY,246374,Shadow Blades,Ayriea,1,4252286
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Stradivarus,1,5258473
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Mythrose,1,4405639
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Shallowfall,4,10593653
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Katanescence,3,12966124
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Vaelyra,5,19432859
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Tawñ,1,3862651
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Kamer,15,66549223
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Radiantldeal,1,4005824
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Illestra,3,12323744
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Psychodruid,9,36995524
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Metonymy,4,17749941
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Brian,2,8541605
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Petrol,3,13623657
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Uuglei,5,19692597
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Cagliostro,3,13089448
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Velsummers,6,22535640
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Shadowbaine,2,9395940
9rzLcb8w6CWJAgfn,246374,Shadow Blades,Earrl,3,7910628
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Petrol,3,13146965
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Acturus,2,8487053
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Mythrose,1,4535372
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Èllipses,1,4016938
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Ayriea,2,8894147
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Shallowfall,6,16336094
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Brian,1,4507015
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Metonymy,1,4431150
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Psychodruid,8,31432951
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Earrl,3,8887120
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Pulsè,1,4230557
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Undertakerop,1,3892697
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Future,4,15266381
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Divanance,4,12419370
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Shadowbaine,1,4113569
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Illestra,2,8715837
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Velryssa,3,12668555
a7Pqm1ZvfWhVY4Hn,246374,Shadow Blades,Au,5,18766640
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Earrl,1,2507636
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Radiantldeal,2,7953756
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Mythrose,3,13415734
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Metonymy,4,17782031
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Future,1,4204221
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Divanance,2,5568333
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Pulsè,2,7048800
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Shallowfall,9,29763515
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Shadowbaine,7,32754717
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Petrol,4,18216256
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Au,2,7938860
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Illestra,5,21104359
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Daffy,4,16101287
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Psychodruid,7,27999922
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Acturus,6,26606393
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Vaelyra,3,11661985
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Velryssa,9,42840004
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Brian,3,13042314
K4zJxrtGHL8vP9ap,246374,Shadow Blades,Tinytiki,8,34160433
