player,count,fight_count,primary_role,av_count
Ayriea,217,67,damage,3.2388059701492535
Earrl,211,69,tank,3.0579710144927534
Brian,196,69,damage,2.8405797101449277
Petrol,164,69,damage,2.3768115942028984
Stradivarus,116,60,damage,1.9333333333333333
Psychodruid,103,56,damage,1.8392857142857142
Future,114,63,damage,1.8095238095238095
Divanance,112,69,tank,1.6231884057971016
Shadowbaine,105,69,damage,1.5217391304347827
Metonymy,102,69,damage,1.4782608695652173
Èllipses,41,37,damage,1.1081081081081081
Au,42,40,damage,1.05
Pulsè,66,63,damage,1.0476190476190477
Cagliostro,52,64,damage,0.8125
Shallowfall,43,61,damage,0.7049180327868853
Velryssa,19,38,damage,0.5
Illestra,33,69,healer,0.4782608695652174
Vaelyra,29,64,damage,0.453125
Acturus,2,63,healer,0.031746031746031744
