player,hits,damage_taken,fight_count,primary_role,av_count
Divanance,20,61884393,69,tank,0.2898550724637681
Earrl,22,68046689,69,tank,0.3188405797101449
Brian,24,104496861,69,damage,0.34782608695652173
Ayriea,28,121880035,67,damage,0.417910447761194
Vaelyra,27,101368098,64,damage,0.421875
Cagliostro,27,114652162,64,damage,0.421875
Acturus,32,137605433,63,healer,0.5079365079365079
Petrol,36,160271270,69,damage,0.5217391304347826
Shallowfall,32,94747030,61,damage,0.5245901639344263
Èllipses,20,81350848,37,damage,0.5405405405405406
Future,37,156405990,63,damage,0.5873015873015873
Illestra,41,156120309,69,healer,0.5942028985507246
Psychodruid,34,136400160,56,damage,0.6071428571428571
Pulsè,39,158543548,63,damage,0.6190476190476191
Mythrose,44,192902216,69,healer,0.6376811594202898
Radiantldeal,42,165378621,64,healer,0.65625
Velryssa,25,104030498,38,damage,0.6578947368421053
Stradivarus,40,188378086,60,damage,0.6666666666666666
Shadowbaine,50,228070342,69,damage,0.7246376811594203
Metonymy,50,219855279,69,damage,0.7246376811594203
Au,31,105581475,40,damage,0.775
