log_id,spell_id,spell_name,player,hits,damage_taken
1q8V234wXDhrRakC,250912,Cosmic Glare,Brian,1,4435279
1q8V234wXDhrRakC,250912,Cosmic Glare,Earrl,1,2791495
1q8V234wXDhrRakC,250912,Cosmic Glare,Velryssa,1,3735884
1q8V234wXDhrRakC,250912,Cosmic Glare,Kyarrix,1,4281666
1q8V234wXDhrRakC,250912,Cosmic Glare,Cagliostro,1,4522887
1q8V234wXDhrRakC,250912,Cosmic Glare,Divanance,1,3338079
1q8V234wXDhrRakC,250912,Cosmic Glare,Stradivarus,1,5050844
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Vaelyra,1,3810421
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Radiantldeal,1,3918203
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Metonymy,1,4572199
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Cagliostro,1,4500728
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Brian,1,4525566
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Earrl,1,3358186
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Mythrose,1,4326067
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Ayriea,1,4478133
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Pulsè,1,3648467
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Psychodruid,1,4398910
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Future,1,4423055
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Petrol,1,4593319
1VNCD6KjrLg2wFGY,250912,Cosmic Glare,Illestra,1,3845743
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Vaelyra,3,10196732
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Divanance,1,3354623
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Uuglei,7,25223451
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Petrol,8,36158387
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Velsummers,8,29358726
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Illestra,5,18416206
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Brian,7,29723133
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Psychodruid,6,24789430
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Shallowfall,10,27911252
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Shadowbaine,4,18609858
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Tawñ,3,11855071
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Earrl,4,10951500
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Mythrose,11,48922486
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Stradivarus,9,41791392
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Katanescence,6,23263457
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Kamer,6,25013171
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Radiantldeal,7,27986886
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Metonymy,8,33770620
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Ayriea,3,13582373
9rzLcb8w6CWJAgfn,250912,Cosmic Glare,Cagliostro,2,7012501
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Mythrose,7,30397260
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Shadowbaine,13,59586674
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Daffy,7,26431308
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Brian,2,9141353
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Velryssa,8,35322586
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Ayriea,2,9249735
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Au,6,20677591
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Divanance,4,12237392
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Metonymy,6,26713015
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Psychodruid,6,23967480
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Pulsè,13,53862210
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Èllipses,5,18742293
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Future,7,29852059
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Illestra,4,15538804
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Acturus,9,39722603
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Stradivarus,9,44823597
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Earrl,5,16533479
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Petrol,7,30830656
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Shallowfall,10,27340537
a7Pqm1ZvfWhVY4Hn,250912,Cosmic Glare,Undertakerop,5,22341166
