player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,0,266664110,67,damage,3980061.343283582
Future,0,279377496,63,damage,4434563.428571428
Metonymy,0,315778083,69,damage,4576493.956521739
Petrol,0,359880168,69,damage,5215654.608695652
Mythrose,0,363488408,69,healer,5267947.942028985
Brian,0,408673471,69,damage,5922803.927536231
Cagliostro,0,421023833,64,damage,6578497.390625
Illestra,0,478804263,69,healer,6939192.217391305
Acturus,0,450244449,63,healer,7146737.285714285
Pulsè,0,467333272,63,damage,7417988.444444444
Psychodruid,0,432834472,56,damage,7729187.0
Velryssa,0,320163804,38,damage,8425363.263157895
Shadowbaine,0,585421302,69,damage,8484366.695652174
Stradivarus,0,511760606,60,damage,8529343.433333334
Èllipses,0,323479969,37,damage,8742701.864864865
Radiantldeal,0,576238852,64,healer,9003732.0625
Vaelyra,0,600480199,64,damage,9382503.109375
Shallowfall,0,593163484,61,damage,9723991.540983606
Au,0,406813864,40,damage,10170346.6
Earrl,0,1774031889,69,tank,25710607.086956523
Divanance,0,2114117140,69,tank,30639378.84057971
