log_id,spell_id,spell_name,player,hits,damage_taken
2c6whdrGDkKHP7Nv,244761,annihilation,Au,2,1648634
2c6whdrGDkKHP7Nv,244761,annihilation,Petrol,5,8784498
2c6whdrGDkKHP7Nv,244761,annihilation,Ayriea,5,9406290
2c6whdrGDkKHP7Nv,244761,annihilation,Vaelyra,5,5501465
2c6whdrGDkKHP7Nv,244761,annihilation,Shadowbaine,4,6476690
2c6whdrGDkKHP7Nv,244761,annihilation,Kyarrix,4,8911971
2c6whdrGDkKHP7Nv,244761,annihilation,Illestra,5,9163750
2c6whdrGDkKHP7Nv,244761,annihilation,Metonymy,3,5421013
2c6whdrGDkKHP7Nv,244761,annihilation,Mythrose,5,6131095
2c6whdrGDkKHP7Nv,244761,annihilation,Cagliostro,3,3026347
2c6whdrGDkKHP7Nv,244761,annihilation,Acturus,4,4975592
2c6whdrGDkKHP7Nv,244761,annihilation,Zephyyra,5,6319190
2c6whdrGDkKHP7Nv,244761,annihilation,Shallowfall,5,3714548
2c6whdrGDkKHP7Nv,244761,annihilation,Radiantldeal,5,10131655
2c6whdrGDkKHP7Nv,244761,annihilation,Znoch,5,7323585
2c6whdrGDkKHP7Nv,244761,annihilation,Velryssa,4,4196525
2c6whdrGDkKHP7Nv,244761,annihilation,Tinytiki,3,2779223
2c6whdrGDkKHP7Nv,244761,annihilation,Brian,4,7022089
4AP62tL1NzjfFWd7,244761,annihilation,Tinytiki,4,3481752
4AP62tL1NzjfFWd7,244761,annihilation,Acturus,2,2148887
4AP62tL1NzjfFWd7,244761,annihilation,Mythrose,5,5352924
4AP62tL1NzjfFWd7,244761,annihilation,Radiantldeal,5,11568235
4AP62tL1NzjfFWd7,244761,annihilation,Illestra,5,6138993
4AP62tL1NzjfFWd7,244761,annihilation,Cagliostro,5,6468944
4AP62tL1NzjfFWd7,244761,annihilation,Zephyyra,4,7924698
4AP62tL1NzjfFWd7,244761,annihilation,Velryssa,4,4760636
4AP62tL1NzjfFWd7,244761,annihilation,Vaelyra,4,5746739
4AP62tL1NzjfFWd7,244761,annihilation,Thebadlock,5,8724177
4AP62tL1NzjfFWd7,244761,annihilation,Shallowfall,4,3636433
4AP62tL1NzjfFWd7,244761,annihilation,Znoch,5,7333430
4AP62tL1NzjfFWd7,244761,annihilation,Kamer,4,3218383
4AP62tL1NzjfFWd7,244761,annihilation,Brianmurican,5,8458258
4AP62tL1NzjfFWd7,244761,annihilation,Metonymy,5,9175916
4AP62tL1NzjfFWd7,244761,annihilation,Ayriea,5,6227900
4AP62tL1NzjfFWd7,244761,annihilation,Petrol,3,8479789
4AP62tL1NzjfFWd7,244761,annihilation,Au,5,4862962
7H6FtpVr9c4xaW8L,244761,annihilation,Mythrose,3,3146674
7H6FtpVr9c4xaW8L,244761,annihilation,Radiantldeal,6,8155166
7H6FtpVr9c4xaW8L,244761,annihilation,Zephyyra,5,8951298
7H6FtpVr9c4xaW8L,244761,annihilation,Vaelyra,5,9607282
7H6FtpVr9c4xaW8L,244761,annihilation,Stradivarus,1,613000
7H6FtpVr9c4xaW8L,244761,annihilation,Velryssa,1,476278
7H6FtpVr9c4xaW8L,244761,annihilation,Acturus,5,5175734
7H6FtpVr9c4xaW8L,244761,annihilation,Metonymy,4,7049421
7H6FtpVr9c4xaW8L,244761,annihilation,Shallowfall,5,4454301
7H6FtpVr9c4xaW8L,244761,annihilation,Verle,3,2435199
