player,count
Brian,950
Mythrose,494
Ayriea,386
Cagliostro,374
Au,369
Shadowbaine,312
Shallowfall,308
Stradivarus,263
Psychodruid,253
Radiantldeal,244
Metonymy,233
Illestra,184
Tawñ,183
Kamer,180
Petrol,178
Acturus,157
Daffy,153
Future,139
Velsummers,121
Èllipses,118
Googboog,101
Vaelyra,101
Earrl,97
Divanance,89
Eleint,87
Pulsè,75
Velryssa,68
Tinytiki,32
Cinzia,31
Shaami,29
Kyarrix,16
Undertakerop,7
Verle,6
Delacram,5
Resta,3
Humanraptor,2
Bryiah,2
Mohgul,2
Severos,1
Demonhoney,1
Duvao,1
Oakinon,1
Evayne,1
Yoked,1
