log_id,spell_id,spell_name,player,hits,damage_taken
2c6whdrGDkKHP7Nv,245121,entropic bomb,Tinytiki,3,8260311
2c6whdrGDkKHP7Nv,245121,entropic bomb,Cagliostro,2,5499449
2c6whdrGDkKHP7Nv,245121,entropic bomb,Shallowfall,3,5674590
2c6whdrGDkKHP7Nv,245121,entropic bomb,Mythrose,1,2838152
2c6whdrGDkKHP7Nv,245121,entropic bomb,Znoch,5,12822769
2c6whdrGDkKHP7Nv,245121,entropic bomb,Acturus,5,14732310
2c6whdrGDkKHP7Nv,245121,entropic bomb,Radiantldeal,3,6040468
2c6whdrGDkKHP7Nv,245121,entropic bomb,Velryssa,2,5840883
2c6whdrGDkKHP7Nv,245121,entropic bomb,Shadowbaine,7,20472971
2c6whdrGDkKHP7Nv,245121,entropic bomb,Kyarrix,3,7224775
2c6whdrGDkKHP7Nv,245121,entropic bomb,Zephyyra,2,5501439
2c6whdrGDkKHP7Nv,245121,entropic bomb,Au,2,5543267
2c6whdrGDkKHP7Nv,245121,entropic bomb,Illestra,2,5761203
2c6whdrGDkKHP7Nv,245121,entropic bomb,Metonymy,1,2853190
2c6whdrGDkKHP7Nv,245121,entropic bomb,Divanance,25,52244745
2c6whdrGDkKHP7Nv,245121,entropic bomb,Brian,2,5941925
2c6whdrGDkKHP7Nv,245121,entropic bomb,Earrl,12,23915666
2c6whdrGDkKHP7Nv,245121,entropic bomb,Vaelyra,4,8065523
4AP62tL1NzjfFWd7,245121,entropic bomb,Illestra,1,2488526
4AP62tL1NzjfFWd7,245121,entropic bomb,Au,2,5499048
4AP62tL1NzjfFWd7,245121,entropic bomb,Metonymy,1,1482282
4AP62tL1NzjfFWd7,245121,entropic bomb,Earrl,9,19709750
4AP62tL1NzjfFWd7,245121,entropic bomb,Velryssa,5,14223943
4AP62tL1NzjfFWd7,245121,entropic bomb,Acturus,2,5775852
4AP62tL1NzjfFWd7,245121,entropic bomb,Radiantldeal,1,2557163
4AP62tL1NzjfFWd7,245121,entropic bomb,Thebadlock,2,5956444
4AP62tL1NzjfFWd7,245121,entropic bomb,Kamer,2,5544799
4AP62tL1NzjfFWd7,245121,entropic bomb,Psychodruid,3,6639790
4AP62tL1NzjfFWd7,245121,entropic bomb,Brianmurican,2,4059461
4AP62tL1NzjfFWd7,245121,entropic bomb,Divanance,12,24901268
4AP62tL1NzjfFWd7,245121,entropic bomb,Tinytiki,2,4353674
4AP62tL1NzjfFWd7,245121,entropic bomb,Znoch,2,4355311
4AP62tL1NzjfFWd7,245121,entropic bomb,Shadowbaine,2,4603375
4AP62tL1NzjfFWd7,245121,entropic bomb,Ayriea,2,4208396
4AP62tL1NzjfFWd7,245121,entropic bomb,Shallowfall,3,6235817
4AP62tL1NzjfFWd7,245121,entropic bomb,Cagliostro,2,5726665
6f7xWYP9JLdz4XjB,245121,entropic bomb,Radiantldeal,11,27624908
6f7xWYP9JLdz4XjB,245121,entropic bomb,Googboog,32,84967927
6f7xWYP9JLdz4XjB,245121,entropic bomb,Cinzia,9,26257118
6f7xWYP9JLdz4XjB,245121,entropic bomb,Metonymy,11,30440508
6f7xWYP9JLdz4XjB,245121,entropic bomb,Psychodruid,16,43109601
6f7xWYP9JLdz4XjB,245121,entropic bomb,Ayriea,21,55499767
6f7xWYP9JLdz4XjB,245121,entropic bomb,Divanance,74,158058236
6f7xWYP9JLdz4XjB,245121,entropic bomb,Brianmurican,11,29681729
6f7xWYP9JLdz4XjB,245121,entropic bomb,Shadowbaine,23,60970693
6f7xWYP9JLdz4XjB,245121,entropic bomb,Velryssa,32,98597018
6f7xWYP9JLdz4XjB,245121,entropic bomb,Acturus,25,59648682
