log_id,spell_id,spell_name,player,count
6f7xWYP9JLdz4XjB,527,purify,Radiantldeal,24
6f7xWYP9JLdz4XjB,527,purify,Mythrose,33
96FwjyP38bYTkmDf,527,purify,Mythrose,20
gbTRy3GhdN9CY46r,527,purify,Radiantldeal,2
gbTRy3GhdN9CY46r,527,purify,Mythrose,93
JXLwKGarqfT2mvMP,527,purify,Mythrose,15
P6jqnm2cH7vxJdkY,527,purify,Radiantldeal,1
Wc18VDX9wQ62hTjy,527,purify,Mythrose,115
YGa62MVkATCdL4Zp,527,purify,Mythrose,1
6f7xWYP9JLdz4XjB,32375,mass dispel,Radiantldeal,2
2c6whdrGDkKHP7Nv,4987,cleanse,Acturus,19
4AP62tL1NzjfFWd7,4987,cleanse,Acturus,19
6f7xWYP9JLdz4XjB,4987,cleanse,Acturus,9
7H6FtpVr9c4xaW8L,4987,cleanse,Acturus,13
82BfPKG7bpAjqLzh,4987,cleanse,Acturus,49
96FwjyP38bYTkmDf,4987,cleanse,Acturus,3
AhPtzwGQm9Mg8rTa,4987,cleanse,Acturus,46
bvV2YFyrRQdpJ6xf,4987,cleanse,Acturus,24
dZfYj6ynTA21WDxa,4987,cleanse,Acturus,18
gbTRy3GhdN9CY46r,4987,cleanse,Acturus,115
hDTjXr8H3FqtNLk1,4987,cleanse,Acturus,15
JXLwKGarqfT2mvMP,4987,cleanse,Acturus,65
P6jqnm2cH7vxJdkY,4987,cleanse,Acturus,35
TJPXdVcafZ49tLGm,4987,cleanse,Acturus,17
Wc18VDX9wQ62hTjy,4987,cleanse,Acturus,89
YGa62MVkATCdL4Zp,4987,cleanse,Acturus,50
2c6whdrGDkKHP7Nv,77130,purify spirit,Illestra,18
2c6whdrGDkKHP7Nv,77130,purify spirit,Zephyyra,5
4AP62tL1NzjfFWd7,77130,purify spirit,Illestra,14
6f7xWYP9JLdz4XjB,77130,purify spirit,Illestra,30
7H6FtpVr9c4xaW8L,77130,purify spirit,Zephyyra,10
7H6FtpVr9c4xaW8L,77130,purify spirit,Illestra,14
82BfPKG7bpAjqLzh,77130,purify spirit,Illestra,32
96FwjyP38bYTkmDf,77130,purify spirit,Illestra,16
AhPtzwGQm9Mg8rTa,77130,purify spirit,Illestra,25
bvV2YFyrRQdpJ6xf,77130,purify spirit,Illestra,11
bvV2YFyrRQdpJ6xf,77130,purify spirit,Zephyyra,15
dZfYj6ynTA21WDxa,77130,purify spirit,Illestra,19
dZfYj6ynTA21WDxa,77130,purify spirit,Zephyyra,15
gbTRy3GhdN9CY46r,77130,purify spirit,Illestra,70
hDTjXr8H3FqtNLk1,77130,purify spirit,Zephyyra,9
hDTjXr8H3FqtNLk1,77130,purify spirit,Illestra,12
JXLwKGarqfT2mvMP,77130,purify spirit,Illestra,33
P6jqnm2cH7vxJdkY,77130,purify spirit,Illestra,14
TJPXdVcafZ49tLGm,77130,purify spirit,Illestra,16
Wc18VDX9wQ62hTjy,77130,purify spirit,Illestra,185
YGa62MVkATCdL4Zp,77130,purify spirit,Illestra,39
