log_id,spell_id,player,hits,damage_taken
7H6FtpVr9c4xaW8L,250191,Au,2,15116553
7H6FtpVr9c4xaW8L,250191,Mythrose,3,33563013
7H6FtpVr9c4xaW8L,250191,Earrl,5,29497080
7H6FtpVr9c4xaW8L,250191,Vaelyra,1,8566871
7H6FtpVr9c4xaW8L,250191,Cagliostro,3,25346952
7H6FtpVr9c4xaW8L,250191,Shadowbaine,4,27054461
7H6FtpVr9c4xaW8L,250191,Stradivarus,5,43279917
7H6FtpVr9c4xaW8L,250191,Divanance,6,39885350
7H6FtpVr9c4xaW8L,250191,Shallowfall,2,18237093
7H6FtpVr9c4xaW8L,250191,Metonymy,4,19595531
7H6FtpVr9c4xaW8L,250191,Brian,1,11210948
7H6FtpVr9c4xaW8L,250191,Petrol,1,2827366
7H6FtpVr9c4xaW8L,250191,Bryiah,5,26745241
7H6FtpVr9c4xaW8L,250191,Psychodruid,3,32048424
7H6FtpVr9c4xaW8L,250191,Illestra,2,8842299
7H6FtpVr9c4xaW8L,250191,Radiantldeal,3,20194562
7H6FtpVr9c4xaW8L,250191,Acturus,5,26653993
7H6FtpVr9c4xaW8L,250191,Verle,2,22882002
9rzLcb8w6CWJAgfn,250191,Illestra,2,11202452
9rzLcb8w6CWJAgfn,250191,Kamer,1,2697125
9rzLcb8w6CWJAgfn,250191,Velsummers,4,30339449
9rzLcb8w6CWJAgfn,250191,Brian,1,10928687
9rzLcb8w6CWJAgfn,250191,Vaelyra,0,1255072
9rzLcb8w6CWJAgfn,250191,Cagliostro,1,11490197
9rzLcb8w6CWJAgfn,250191,Stradivarus,1,10786686
9rzLcb8w6CWJAgfn,250191,Mythrose,1,11202364
9rzLcb8w6CWJAgfn,250191,Shallowfall,1,4154025
9rzLcb8w6CWJAgfn,250191,Radiantldeal,1,2818073
9rzLcb8w6CWJAgfn,250191,Petrol,1,11623293
9rzLcb8w6CWJAgfn,250191,Earrl,3,21086045
9rzLcb8w6CWJAgfn,250191,Uuglei,2,13321165
a7Pqm1ZvfWhVY4Hn,250191,Brian,1,8232904
a7Pqm1ZvfWhVY4Hn,250191,Divanance,2,10481351
a7Pqm1ZvfWhVY4Hn,250191,Illestra,5,35712793
a7Pqm1ZvfWhVY4Hn,250191,Psychodruid,1,11017414
a7Pqm1ZvfWhVY4Hn,250191,Acturus,4,25697495
a7Pqm1ZvfWhVY4Hn,250191,Undertakerop,1,2758037
a7Pqm1ZvfWhVY4Hn,250191,Cagliostro,2,19893573
a7Pqm1ZvfWhVY4Hn,250191,Shallowfall,2,12650683
a7Pqm1ZvfWhVY4Hn,250191,Petrol,1,2574625
a7Pqm1ZvfWhVY4Hn,250191,Future,2,19754965
a7Pqm1ZvfWhVY4Hn,250191,Earrl,2,13937074
a7Pqm1ZvfWhVY4Hn,250191,Ayriea,1,11535515
a7Pqm1ZvfWhVY4Hn,250191,Metonymy,1,2824757
a7Pqm1ZvfWhVY4Hn,250191,Stradivarus,1,10881540
a7Pqm1ZvfWhVY4Hn,250191,Au,2,11380465
c1ZavyhdWfMAk6NH,250191,Kamer,4,21758701
c1ZavyhdWfMAk6NH,250191,Bryiah,11,71962881
c1ZavyhdWfMAk6NH,250191,Illestra,6,41558853
c1ZavyhdWfMAk6NH,250191,Metonymy,4,28277296
c1ZavyhdWfMAk6NH,250191,Ayriea,3,20781020
c1ZavyhdWfMAk6NH,250191,Divanance,9,56943236
c1ZavyhdWfMAk6NH,250191,Shallowfall,2,17586757
c1ZavyhdWfMAk6NH,250191,Kyarrix,5,39282444
c1ZavyhdWfMAk6NH,250191,Brian,2,13726128
c1ZavyhdWfMAk6NH,250191,Èllipses,2,16575482
c1ZavyhdWfMAk6NH,250191,Au,7,37225775
c1ZavyhdWfMAk6NH,250191,Tinytiki,4,9580106
c1ZavyhdWfMAk6NH,250191,Petrol,2,9782180
c1ZavyhdWfMAk6NH,250191,Velryssa,1,11099026
c1ZavyhdWfMAk6NH,250191,Zephyyra,7,57244830
c1ZavyhdWfMAk6NH,250191,Earrl,11,79029128
c1ZavyhdWfMAk6NH,250191,Radiantldeal,2,22819156
c1ZavyhdWfMAk6NH,250191,Znoch,1,2728174
c1ZavyhdWfMAk6NH,250191,Cagliostro,3,20653000
c1ZavyhdWfMAk6NH,250191,Acturus,6,54551367
dCfjAPayM69GJ4Tw,250191,Cagliostro,4,23459529
dCfjAPayM69GJ4Tw,250191,Acturus,15,120023549
dCfjAPayM69GJ4Tw,250191,Mythrose,9,70013042
dCfjAPayM69GJ4Tw,250191,Vaelyra,4,21463921
