player,hits,damage_taken,fight_count,primary_role,av_count
Shallowfall,1752,2572457788,90,damage,28582864.31111111
Vaelyra,1719,2812442538,89,damage,31600477.95505618
Psychodruid,1729,2987832523,92,damage,32476440.467391305
Earrl,2071,3509951585,104,tank,33749534.47115385
Brian,1853,3315346166,98,damage,33830062.91836735
Radiantldeal,1642,2811727905,81,healer,34712690.18518519
Cagliostro,1768,3270601112,94,damage,34793628.85106383
Èllipses,1735,3158965243,90,damage,35099613.81111111
Illestra,2062,3692491624,104,healer,35504727.15384615
Tinytiki,1648,2913624209,82,damage,35532002.548780486
Future,1682,3009502065,84,damage,35827405.53571428
Acturus,1802,3464757645,95,healer,36471133.10526316
Mythrose,1942,3563455401,97,healer,36736653.6185567
Ayriea,2022,3844648968,103,damage,37326689.00970874
Petrol,2059,3933920631,104,damage,37826159.913461536
Shadowbaine,1669,3204868585,84,damage,38153197.440476194
Metonymy,1903,3711836911,97,damage,38266359.9072165
Divanance,2098,6600470970,103,tank,64082242.42718446
