log_id,spell_id,player,hits,damage_taken
2Vkpd7QhzTrCbqBg,246779,Illestra,204,337724616
2Vkpd7QhzTrCbqBg,246779,Psychodruid,198,340680251
2Vkpd7QhzTrCbqBg,246779,Cagliostro,214,387133960
2Vkpd7QhzTrCbqBg,246779,Kamer,199,329121402
2Vkpd7QhzTrCbqBg,246779,Earrl,215,365998049
2Vkpd7QhzTrCbqBg,246779,Divanance,219,602228076
2Vkpd7QhzTrCbqBg,246779,Shallowfall,208,305809174
2Vkpd7QhzTrCbqBg,246779,Metonymy,213,411400919
2Vkpd7QhzTrCbqBg,246779,Ayriea,203,384369186
2Vkpd7QhzTrCbqBg,246779,Velryssa,198,374014445
2Vkpd7QhzTrCbqBg,246779,Acturus,213,410675147
2Vkpd7QhzTrCbqBg,246779,Radiantldeal,45,68058350
2Vkpd7QhzTrCbqBg,246779,Petrol,217,409336853
2Vkpd7QhzTrCbqBg,246779,Brian,197,326598003
2Vkpd7QhzTrCbqBg,246779,Mythrose,219,400022174
2Vkpd7QhzTrCbqBg,246779,Zephyyra,160,294316397
2Vkpd7QhzTrCbqBg,246779,Au,199,329219726
2Vkpd7QhzTrCbqBg,246779,Èllipses,212,357499806
2Vkpd7QhzTrCbqBg,246779,Vaelyra,204,308287287
2Vkpd7QhzTrCbqBg,246779,Znoch,203,353023549
2Vkpd7QhzTrCbqBg,246779,Bryiah,191,306433357
9rzLcb8w6CWJAgfn,246779,Mythrose,25,45193513
9rzLcb8w6CWJAgfn,246779,Velsummers,23,37799683
9rzLcb8w6CWJAgfn,246779,Earrl,25,49045696
9rzLcb8w6CWJAgfn,246779,Ayriea,25,47405098
9rzLcb8w6CWJAgfn,246779,Psychodruid,25,43426871
9rzLcb8w6CWJAgfn,246779,Radiantldeal,25,41970433
9rzLcb8w6CWJAgfn,246779,Illestra,25,44861576
9rzLcb8w6CWJAgfn,246779,Uuglei,25,40061637
9rzLcb8w6CWJAgfn,246779,Tawñ,25,49280469
9rzLcb8w6CWJAgfn,246779,Petrol,25,48925447
9rzLcb8w6CWJAgfn,246779,Shallowfall,25,32460132
9rzLcb8w6CWJAgfn,246779,Metonymy,25,46585741
9rzLcb8w6CWJAgfn,246779,Shaami,25,38549169
9rzLcb8w6CWJAgfn,246779,Katanescence,25,43876770
9rzLcb8w6CWJAgfn,246779,Cagliostro,24,42561247
9rzLcb8w6CWJAgfn,246779,Vaelyra,23,37820360
9rzLcb8w6CWJAgfn,246779,Kamer,24,43682685
9rzLcb8w6CWJAgfn,246779,Stradivarus,25,51504356
9rzLcb8w6CWJAgfn,246779,Brian,25,45839721
9rzLcb8w6CWJAgfn,246779,Divanance,25,61905071
a7Pqm1ZvfWhVY4Hn,246779,Vaelyra,65,118960095
a7Pqm1ZvfWhVY4Hn,246779,Future,65,121396653
a7Pqm1ZvfWhVY4Hn,246779,Ayriea,66,120559480
a7Pqm1ZvfWhVY4Hn,246779,Acturus,66,124286351
a7Pqm1ZvfWhVY4Hn,246779,Divanance,66,185039185
a7Pqm1ZvfWhVY4Hn,246779,Stradivarus,66,136969751
a7Pqm1ZvfWhVY4Hn,246779,Mythrose,66,121095388
a7Pqm1ZvfWhVY4Hn,246779,Earrl,66,126250763
a7Pqm1ZvfWhVY4Hn,246779,Daffy,65,110951338
a7Pqm1ZvfWhVY4Hn,246779,Au,65,101731940
a7Pqm1ZvfWhVY4Hn,246779,Psychodruid,63,102331675
a7Pqm1ZvfWhVY4Hn,246779,Brian,65,120208919
a7Pqm1ZvfWhVY4Hn,246779,Pulsè,65,143356109
a7Pqm1ZvfWhVY4Hn,246779,Shadowbaine,60,118984276
a7Pqm1ZvfWhVY4Hn,246779,Shallowfall,66,73838776
a7Pqm1ZvfWhVY4Hn,246779,Cagliostro,62,113446524
a7Pqm1ZvfWhVY4Hn,246779,Illestra,65,124801558
a7Pqm1ZvfWhVY4Hn,246779,Metonymy,65,124727666
a7Pqm1ZvfWhVY4Hn,246779,Undertakerop,59,107582279
a7Pqm1ZvfWhVY4Hn,246779,Petrol,64,121788724
dtYqK8B9zpDfnwHN,246779,Illestra,37,65460086
dtYqK8B9zpDfnwHN,246779,Earrl,36,57317278
dtYqK8B9zpDfnwHN,246779,Shallowfall,31,42420368
dtYqK8B9zpDfnwHN,246779,Ayriea,36,62627092
dtYqK8B9zpDfnwHN,246779,Vaelyra,27,41014217
dtYqK8B9zpDfnwHN,246779,Shadowbaine,30,51409137
dtYqK8B9zpDfnwHN,246779,Metonymy,37,66456695
dtYqK8B9zpDfnwHN,246779,Cagliostro,31,55976143
dtYqK8B9zpDfnwHN,246779,Radiantldeal,37,53891047
dtYqK8B9zpDfnwHN,246779,Mythrose,37,60036671
dtYqK8B9zpDfnwHN,246779,Psychodruid,36,58910520
dtYqK8B9zpDfnwHN,246779,Znoch,37,65547612
dtYqK8B9zpDfnwHN,246779,Brian,36,59077279
dtYqK8B9zpDfnwHN,246779,Bryiah,30,46030702
dtYqK8B9zpDfnwHN,246779,Acturus,27,44215535
dtYqK8B9zpDfnwHN,246779,Velryssa,33,61231210
dtYqK8B9zpDfnwHN,246779,Au,25,39704457
dtYqK8B9zpDfnwHN,246779,Petrol,37,63671955
dtYqK8B9zpDfnwHN,246779,Èllipses,37,53591524
dtYqK8B9zpDfnwHN,246779,Divanance,36,110786027
G9vYdBzb4NAwgarK,246779,Èllipses,99,196396556
G9vYdBzb4NAwgarK,246779,Kyarrix,96,162566409
G9vYdBzb4NAwgarK,246779,Shallowfall,97,147386144
G9vYdBzb4NAwgarK,246779,Mythrose,98,177059726
G9vYdBzb4NAwgarK,246779,Divanance,99,338209243
G9vYdBzb4NAwgarK,246779,Illestra,101,180383079
G9vYdBzb4NAwgarK,246779,Petrol,97,188226379
G9vYdBzb4NAwgarK,246779,Velryssa,92,172334282
G9vYdBzb4NAwgarK,246779,Cagliostro,98,185447337
G9vYdBzb4NAwgarK,246779,Radiantldeal,100,167808636
G9vYdBzb4NAwgarK,246779,Metonymy,101,198154406
G9vYdBzb4NAwgarK,246779,Znoch,100,172340024
G9vYdBzb4NAwgarK,246779,Shadowbaine,97,202211476
G9vYdBzb4NAwgarK,246779,Vaelyra,98,161043611
G9vYdBzb4NAwgarK,246779,Ayriea,93,173607731
G9vYdBzb4NAwgarK,246779,Psychodruid,97,174149986
G9vYdBzb4NAwgarK,246779,Acturus,99,194054062
G9vYdBzb4NAwgarK,246779,Tinytiki,92,166725628
G9vYdBzb4NAwgarK,246779,Earrl,93,139065564
G9vYdBzb4NAwgarK,246779,Brian,97,179761432
gLZFQjRCMHA3f4ar,246779,Tinytiki,103,194596435
gLZFQjRCMHA3f4ar,246779,Shallowfall,106,178317877
gLZFQjRCMHA3f4ar,246779,Acturus,89,172602669
gLZFQjRCMHA3f4ar,246779,Future,104,198310551
gLZFQjRCMHA3f4ar,246779,Illestra,110,207958202
gLZFQjRCMHA3f4ar,246779,Mythrose,104,198184909
gLZFQjRCMHA3f4ar,246779,Radiantldeal,103,192937888
gLZFQjRCMHA3f4ar,246779,Psychodruid,99,177840822
gLZFQjRCMHA3f4ar,246779,Zephyyra,95,166148313
gLZFQjRCMHA3f4ar,246779,Divanance,108,363009011
gLZFQjRCMHA3f4ar,246779,Èllipses,106,199830310
gLZFQjRCMHA3f4ar,246779,Vaelyra,104,174177486
gLZFQjRCMHA3f4ar,246779,Bryiah,96,158956050
gLZFQjRCMHA3f4ar,246779,Cagliostro,103,203421215
gLZFQjRCMHA3f4ar,246779,Au,106,185021278
gLZFQjRCMHA3f4ar,246779,Earrl,110,185232573
gLZFQjRCMHA3f4ar,246779,Metonymy,110,222788856
gLZFQjRCMHA3f4ar,246779,Petrol,105,207533005
gLZFQjRCMHA3f4ar,246779,Ayriea,100,196724944
gLZFQjRCMHA3f4ar,246779,Brian,101,191283608
hcxWNVw3t98KYB1Z,246779,Mythrose,138,248709499
hcxWNVw3t98KYB1Z,246779,Cagliostro,133,250174726
hcxWNVw3t98KYB1Z,246779,Petrol,134,263750346
hcxWNVw3t98KYB1Z,246779,Psychodruid,141,237595550
hcxWNVw3t98KYB1Z,246779,Radiantldeal,144,246719636
hcxWNVw3t98KYB1Z,246779,Èllipses,135,232562074
hcxWNVw3t98KYB1Z,246779,Illestra,143,261510649
hcxWNVw3t98KYB1Z,246779,Metonymy,144,287778674
hcxWNVw3t98KYB1Z,246779,Tinytiki,144,252199839
hcxWNVw3t98KYB1Z,246779,Kyarrix,139,251260460
hcxWNVw3t98KYB1Z,246779,Vaelyra,139,241628741
hcxWNVw3t98KYB1Z,246779,Shadowbaine,140,278839926
hcxWNVw3t98KYB1Z,246779,Earrl,142,270050892
hcxWNVw3t98KYB1Z,246779,Acturus,137,259064701
hcxWNVw3t98KYB1Z,246779,Pulsè,143,303053584
hcxWNVw3t98KYB1Z,246779,Future,138,248907568
hcxWNVw3t98KYB1Z,246779,Shallowfall,140,198496931
hcxWNVw3t98KYB1Z,246779,Ayriea,134,251428129
hcxWNVw3t98KYB1Z,246779,Divanance,142,420920571
hcxWNVw3t98KYB1Z,246779,Stradivarus,140,310800185
jpfhGwvVXcTtqkKM,246779,Petrol,174,343570386
jpfhGwvVXcTtqkKM,246779,Tinytiki,156,276223219
jpfhGwvVXcTtqkKM,246779,Pulsè,169,301544173
jpfhGwvVXcTtqkKM,246779,Kyarrix,161,286849533
jpfhGwvVXcTtqkKM,246779,Ayriea,170,317295168
jpfhGwvVXcTtqkKM,246779,Acturus,168,342204231
jpfhGwvVXcTtqkKM,246779,Psychodruid,162,288489708
jpfhGwvVXcTtqkKM,246779,Mythrose,169,312475689
jpfhGwvVXcTtqkKM,246779,Cagliostro,168,313317720
jpfhGwvVXcTtqkKM,246779,Shallowfall,171,250947557
jpfhGwvVXcTtqkKM,246779,Divanance,175,561581410
jpfhGwvVXcTtqkKM,246779,Shadowbaine,171,325834992
jpfhGwvVXcTtqkKM,246779,Au,159,269381244
jpfhGwvVXcTtqkKM,246779,Brian,166,313464036
jpfhGwvVXcTtqkKM,246779,Vaelyra,170,281741930
jpfhGwvVXcTtqkKM,246779,Future,171,292353569
jpfhGwvVXcTtqkKM,246779,Illestra,166,299292576
jpfhGwvVXcTtqkKM,246779,Earrl,173,295095650
jpfhGwvVXcTtqkKM,246779,Èllipses,165,306630596
jpfhGwvVXcTtqkKM,246779,Radiantldeal,172,293056365
K4zJxrtGHL8vP9ap,246779,Earrl,52,99612450
K4zJxrtGHL8vP9ap,246779,Petrol,52,99124310
K4zJxrtGHL8vP9ap,246779,Vaelyra,52,88299220
