player,damage_done,fight_count,primary_role,av_count
Psychodruid,32224403.0,26,rdps,1239400.1153846155
Stradivarus,38885641.0,33,rdps,1178352.7575757576
Shadowbaine,54555889.0,51,rdps,1069723.3137254901
Ayriea,47665937.0,50,rdps,953318.74
Valmet,37747844.0,43,mdps,877856.8372093023
Irvaeryss,33309218.0,51,mdps,653121.9215686275
Metönymy,31519506.0,51,rdps,618029.5294117647
Elzam,23640746.0,42,mdps,562874.9047619047
Kopyedeep,21415676.0,45,rdps,475903.9111111111
Tawn,21603928.0,47,rdps,459658.0425531915
Ultray,21071491.0,48,rdps,438989.3958333333
Petroll,20876801.0,51,rdps,409349.03921568627
Brianjr,17720081.0,48,mdps,369168.3541666667
Kohbee,11858753.0,40,rdps,296468.825
Toyqt,4816390.0,41,mdps,117472.9268292683
Caydd,2794089.0,29,healer,96347.89655172414
Divinance,4594108.0,51,tank,90080.54901960785
Earrl,4540664.0,51,tank,89032.62745098039
Mythroes,2693530.0,36,healer,74820.27777777778
Jampers,2424396.0,51,healer,47537.17647058824
Acturus,1461703.0,51,healer,28660.843137254902
Illestrae,1009518.0,51,healer,19794.470588235294
