player,hits,damage_taken,fight_count,primary_role,av_count
Valmet,26.0,2862146.0,43,mdps,0.6046511627906976
Ayriea,34.0,3777364.0,50,rdps,0.68
Stradivarus,23.0,2150790.0,33,rdps,0.696969696969697
Tawn,34.0,4310623.0,47,rdps,0.723404255319149
Metönymy,40.0,5062303.0,51,rdps,0.7843137254901961
Kohbee,33.0,3606118.0,40,rdps,0.825
Petroll,44.0,5740435.0,51,rdps,0.8627450980392157
Psychodruid,23.0,2324315.0,26,rdps,0.8846153846153846
Shadowbaine,55.0,6939839.0,51,rdps,1.0784313725490196
Mythroes,40.0,4736263.0,36,healer,1.1111111111111112
Brianjr,56.0,6858512.0,48,mdps,1.1666666666666667
Ultray,60.0,7706038.0,48,rdps,1.25
Toyqt,55.0,4747329.0,41,mdps,1.3414634146341464
Irvaeryss,75.0,8578109.0,51,mdps,1.4705882352941178
Elzam,63.0,6220605.0,42,mdps,1.5
Illestrae,83.0,8006006.0,51,healer,1.6274509803921569
Kopyedeep,75.0,9023410.0,45,rdps,1.6666666666666667
Jampers,88.0,9498816.0,51,healer,1.7254901960784315
Divinance,107.0,2951999.0,51,tank,2.0980392156862746
Acturus,107.0,8699521.0,51,healer,2.0980392156862746
Caydd,77.0,9027680.0,29,healer,2.6551724137931036
Earrl,182.0,10005349.0,51,tank,3.5686274509803924
