player,count,fight_count,primary_role,av_count
Valmet,193.0,42,mdps,4.595238095238095
Elzam,167.0,40,mdps,4.175
Petroll,166.0,42,rdps,3.9523809523809526
Brianjr,123.0,41,mdps,3.0
Tawn,101.0,39,rdps,2.58974358974359
Ayriea,27.0,11,rdps,2.4545454545454546
Kohbee,99.0,41,rdps,2.4146341463414633
Metönymy,69.0,37,rdps,1.864864864864865
Tahvee,60.0,33,rdps,1.8181818181818181
Psychodruid,17.0,12,rdps,1.4166666666666667
Illestrae,23.0,42,healer,0.5476190476190477
Stradivarus,17.0,35,rdps,0.4857142857142857
Toyqt,6.0,38,mdps,0.15789473684210525
Acturus,5.0,42,healer,0.11904761904761904
Earrl,3.0,42,tank,0.07142857142857142
Jampers,0.0,42,healer,0.0
Kopyedeep,0.0,40,rdps,0.0
Mythroes,0.0,40,healer,0.0
Shadowbaine,0.0,39,rdps,0.0
Divinance,0.0,42,tank,0.0
Ultray,0.0,32,rdps,0.0
