player,count,fight_count,primary_role,av_count
Divinance,32.0,40,tank,0.8
Petroll,25.0,40,rdps,0.625
Toyqt,19.0,31,mdps,0.6129032258064516
Tahvee,16.0,27,rdps,0.5925925925925926
Metönymy,22.0,40,rdps,0.55
Valmet,21.0,40,mdps,0.525
Tawn,19.0,37,rdps,0.5135135135135135
Ayriea,17.0,37,rdps,0.4594594594594595
Brianjr,14.0,34,mdps,0.4117647058823529
Psychodruid,11.0,29,rdps,0.3793103448275862
Elzam,12.0,32,mdps,0.375
Earrl,10.0,40,tank,0.25
Irvaeryss,8.0,34,mdps,0.23529411764705882
Illestrae,5.0,40,healer,0.125
Stradivarus,3.0,32,rdps,0.09375
Jampers,0.0,40,healer,0.0
Kopyedeep,0.0,39,rdps,0.0
Mythroes,0.0,37,healer,0.0
Shadowbaine,0.0,20,rdps,0.0
Ultray,0.0,35,rdps,0.0
Acturus,0.0,40,healer,0.0
