log_id,spell_id,player,hits,damage_taken
4yqhHd78P6JmxVgA,284028,Valmet,2,176739
AXrNYJ197F2dQtGx,284028,Jampers,2,180634
AXrNYJ197F2dQtGx,284028,Illestrae,2,177300
AXrNYJ197F2dQtGx,284028,Ayriea,1,92791
BMXcpTVq6knrtzQv,284028,Atalya,1,92242
fTHwBqRDjYxzk8Vn,284028,Ayriea,1,91861
fTHwBqRDjYxzk8Vn,284028,Stradivarus,6,557648
fTHwBqRDjYxzk8Vn,284028,Earrl,6,453772
fTHwBqRDjYxzk8Vn,284028,Valmet,11,988017
fTHwBqRDjYxzk8Vn,284028,Petroll,8,731802
fTHwBqRDjYxzk8Vn,284028,Psychodruid,2,179448
fTHwBqRDjYxzk8Vn,284028,Jampers,6,558354
fTHwBqRDjYxzk8Vn,284028,Brianjr,1,93395
hGQaBYrMVdFmDf3w,284028,Jampers,1,89158
hGQaBYrMVdFmDf3w,284028,Petroll,2,185917
jafB8qcgDvCmFRQM,284028,Jampers,1,89158
jafB8qcgDvCmFRQM,284028,Toyqt,1,96577
jafB8qcgDvCmFRQM,284028,Valmet,2,174433
jafB8qcgDvCmFRQM,284028,Earrl,3,230511
jafB8qcgDvCmFRQM,284028,Metönymy,1,89813
jafB8qcgDvCmFRQM,284028,Brianjr,1,93446
jafB8qcgDvCmFRQM,284028,Shadowbaine,2,183197
jafB8qcgDvCmFRQM,284028,Stradivarus,1,94095
jafB8qcgDvCmFRQM,284028,Petroll,2,182425
jafB8qcgDvCmFRQM,284028,Illestrae,2,110026
jafB8qcgDvCmFRQM,284028,Ultray,1,91979
KxB17AcZJhtYb2Dg,284028,Ayriea,2,185582
KxB17AcZJhtYb2Dg,284028,Tawn,1,89897
KxB17AcZJhtYb2Dg,284028,Shadowbaine,1,92264
xQ6WYrZNRM1FLtmH,284028,Jampers,1,89842
xQ6WYrZNRM1FLtmH,284028,Shadowbaine,1,91637
YGNFr2MH37zXD9Th,284028,Jampers,1,92802
YGNFr2MH37zXD9Th,284028,Earrl,1,82709
YGNFr2MH37zXD9Th,284028,Brianjr,1,93394
YGNFr2MH37zXD9Th,284028,Petroll,5,459755
