player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,6.0,2123739.0,119,rdps,0.05042016806722689
Velryssa,3.0,765114.0,48,mdps,0.0625
Kohbee,8.0,2486848.0,128,rdps,0.0625
Atalya,3.0,1107761.0,34,mdps,0.08823529411764706
Petroll,12.0,3251436.0,134,rdps,0.08955223880597014
Soome,6.0,1705837.0,62,rdps,0.0967741935483871
Mythroes,17.0,4752624.0,134,healer,0.12686567164179105
Tahvee,8.0,3137041.0,63,rdps,0.12698412698412698
Brianjr,18.0,5761666.0,134,mdps,0.13432835820895522
Toyqt,19.0,5781300.0,134,mdps,0.1417910447761194
Caydd,20.0,5377777.0,134,healer,0.14925373134328357
Valmet,20.0,6451102.0,128,mdps,0.15625
Irvaeryss,11.0,3343894.0,69,mdps,0.15942028985507245
Ultray,1.0,325091.0,6,rdps,0.16666666666666666
Psychodruid,19.0,5395384.0,107,rdps,0.17757009345794392
Elzam,19.0,5881472.0,107,mdps,0.17757009345794392
Metönymy,24.0,6105080.0,134,rdps,0.1791044776119403
Divinance,25.0,11823330.0,134,tank,0.1865671641791045
Tawn,18.0,5911179.0,91,rdps,0.1978021978021978
Jampers,26.0,8679773.0,129,healer,0.20155038759689922
Kopyedeep,23.0,8391881.0,104,rdps,0.22115384615384615
Shadowbaine,17.0,6566774.0,73,rdps,0.2328767123287671
Earrl,33.0,14556940.0,134,tank,0.2462686567164179
Acturus,35.0,9207489.0,134,healer,0.26119402985074625
Illestrae,39.0,11172435.0,134,healer,0.291044776119403
