log_id,spell_id,player,hits,damage_taken
6D3kj1MH9qdGRWh7,282182,Illestrae,2,780066
6D3kj1MH9qdGRWh7,282182,Acturus,1,221828
6D3kj1MH9qdGRWh7,282182,Toyqt,0,0
6D3kj1MH9qdGRWh7,282182,Valmet,2,843620
6D3kj1MH9qdGRWh7,282182,Soome,1,262124
6D3kj1MH9qdGRWh7,282182,Shadowbaine,1,486412
6D3kj1MH9qdGRWh7,282182,Velryssa,1,245517
6D3kj1MH9qdGRWh7,282182,Tahvee,1,241494
6D3kj1MH9qdGRWh7,282182,Petroll,1,235654
6D3kj1MH9qdGRWh7,282182,Earrl,1,529164
6D3kj1MH9qdGRWh7,282182,Atalya,1,642055
6vGW8nAf4Tr3YXc7,282182,Soome,1,231330
6vGW8nAf4Tr3YXc7,282182,Acturus,1,494285
6vGW8nAf4Tr3YXc7,282182,Brianjr,2,612846
6vGW8nAf4Tr3YXc7,282182,Ayriea,1,244087
6vGW8nAf4Tr3YXc7,282182,Tawn,1,227106
6vGW8nAf4Tr3YXc7,282182,Valmet,2,479614
6vGW8nAf4Tr3YXc7,282182,Elzam,1,187949
6vGW8nAf4Tr3YXc7,282182,Velryssa,1,276858
6vGW8nAf4Tr3YXc7,282182,Metönymy,3,697532
6vGW8nAf4Tr3YXc7,282182,Illestrae,1,228931
6vGW8nAf4Tr3YXc7,282182,Kopyedeep,3,1141203
6vGW8nAf4Tr3YXc7,282182,Caydd,2,846338
6vGW8nAf4Tr3YXc7,282182,Earrl,1,517387
6vGW8nAf4Tr3YXc7,282182,Toyqt,4,901434
6vGW8nAf4Tr3YXc7,282182,Divanance,3,1092878
6vGW8nAf4Tr3YXc7,282182,Psychodruid,1,230273
6vGW8nAf4Tr3YXc7,282182,Jampers,1,252098
BMXcpTVq6knrtzQv,282182,Jampers,1,501153
BMXcpTVq6knrtzQv,282182,Illestrae,1,243602
BMXcpTVq6knrtzQv,282182,Brianjr,1,322658
BMXcpTVq6knrtzQv,282182,Earrl,1,484445
BMXcpTVq6knrtzQv,282182,Shadowbaine,1,594105
BMXcpTVq6knrtzQv,282182,Velryssa,1,242739
BMXcpTVq6knrtzQv,282182,Psychodruid,1,277360
BMXcpTVq6knrtzQv,282182,Metönymy,1,239452
BMXcpTVq6knrtzQv,282182,Soome,1,566035
BMXcpTVq6knrtzQv,282182,Valmet,1,207647
FwdP9AGaWr463RJQ,282182,Atalya,2,465706
FwdP9AGaWr463RJQ,282182,Brianjr,3,1165834
FwdP9AGaWr463RJQ,282182,Tawn,4,1578362
FwdP9AGaWr463RJQ,282182,Metönymy,5,1230966
FwdP9AGaWr463RJQ,282182,Kohbee,1,239212
