player,uses,fight_count,primary_role,av_count
Divinance,112.0,134,tank,0.835820895522388
Earrl,96.0,134,tank,0.7164179104477612
Metönymy,74.0,134,rdps,0.5522388059701493
Brianjr,71.0,134,mdps,0.5298507462686567
Soome,32.0,62,rdps,0.5161290322580645
Ayriea,53.0,119,rdps,0.44537815126050423
Toyqt,58.0,134,mdps,0.43283582089552236
Psychodruid,46.0,107,rdps,0.42990654205607476
Irvaeryss,28.0,69,mdps,0.4057971014492754
Kohbee,50.0,128,rdps,0.390625
Tawn,32.0,91,rdps,0.3516483516483517
Valmet,45.0,128,mdps,0.3515625
Kopyedeep,36.0,104,rdps,0.34615384615384615
Shadowbaine,25.0,73,rdps,0.3424657534246575
Petroll,42.0,134,rdps,0.31343283582089554
Velryssa,15.0,48,mdps,0.3125
Elzam,23.0,107,mdps,0.21495327102803738
Tahvee,13.0,63,rdps,0.20634920634920634
Atalya,4.0,34,mdps,0.11764705882352941
Jampers,5.0,129,healer,0.03875968992248062
Mythroes,2.0,134,healer,0.014925373134328358
Acturus,2.0,134,healer,0.014925373134328358
Illestrae,1.0,134,healer,0.007462686567164179
Caydd,1.0,134,healer,0.007462686567164179
