log_id,spell_id,player,hits,damage_taken
6D3kj1MH9qdGRWh7,287891,Velryssa,3,718834
6D3kj1MH9qdGRWh7,287891,Soome,4,832256
6D3kj1MH9qdGRWh7,287891,Metönymy,2,213735
6D3kj1MH9qdGRWh7,287891,Brianjr,2,280584
6D3kj1MH9qdGRWh7,287891,Caydd,2,348215
6D3kj1MH9qdGRWh7,287891,Ayriea,2,473483
6D3kj1MH9qdGRWh7,287891,Irvaeryss,4,708911
6D3kj1MH9qdGRWh7,287891,Tahvee,4,824119
6D3kj1MH9qdGRWh7,287891,Illestrae,4,726648
6D3kj1MH9qdGRWh7,287891,Psychodruid,1,215255
6D3kj1MH9qdGRWh7,287891,Mythroes,4,858304
6D3kj1MH9qdGRWh7,287891,Valmet,4,622467
6D3kj1MH9qdGRWh7,287891,Divanance,5,1016281
6D3kj1MH9qdGRWh7,287891,Earrl,1,168601
6D3kj1MH9qdGRWh7,287891,Atalya,1,249023
6D3kj1MH9qdGRWh7,287891,Toyqt,5,967182
6D3kj1MH9qdGRWh7,287891,Acturus,4,696555
6D3kj1MH9qdGRWh7,287891,Petroll,2,385091
6D3kj1MH9qdGRWh7,287891,Kohbee,6,1556195
6D3kj1MH9qdGRWh7,287891,Shadowbaine,5,1106275
6vGW8nAf4Tr3YXc7,287891,Brianjr,3,376962
6vGW8nAf4Tr3YXc7,287891,Earrl,18,3288183
6vGW8nAf4Tr3YXc7,287891,Petroll,4,936441
6vGW8nAf4Tr3YXc7,287891,Velryssa,7,1276563
6vGW8nAf4Tr3YXc7,287891,Illestrae,9,1898732
6vGW8nAf4Tr3YXc7,287891,Valmet,5,765904
6vGW8nAf4Tr3YXc7,287891,Tawn,7,890558
6vGW8nAf4Tr3YXc7,287891,Psychodruid,4,661379
6vGW8nAf4Tr3YXc7,287891,Mythroes,8,1466924
6vGW8nAf4Tr3YXc7,287891,Kohbee,4,649782
6vGW8nAf4Tr3YXc7,287891,Kopyedeep,3,451585
6vGW8nAf4Tr3YXc7,287891,Metönymy,2,314266
6vGW8nAf4Tr3YXc7,287891,Ayriea,4,702937
6vGW8nAf4Tr3YXc7,287891,Soome,4,593709
6vGW8nAf4Tr3YXc7,287891,Acturus,6,782691
6vGW8nAf4Tr3YXc7,287891,Jampers,11,1728396
6vGW8nAf4Tr3YXc7,287891,Caydd,6,847344
6vGW8nAf4Tr3YXc7,287891,Elzam,2,385195
6vGW8nAf4Tr3YXc7,287891,Divanance,11,2333745
6vGW8nAf4Tr3YXc7,287891,Toyqt,9,830198
BMXcpTVq6knrtzQv,287891,Mythroes,1,240967
BMXcpTVq6knrtzQv,287891,Soome,1,245826
BMXcpTVq6knrtzQv,287891,Tahvee,1,196089
BMXcpTVq6knrtzQv,287891,Acturus,1,209382
BMXcpTVq6knrtzQv,287891,Jampers,1,224897
BMXcpTVq6knrtzQv,287891,Earrl,1,150686
BMXcpTVq6knrtzQv,287891,Kohbee,2,343245
BMXcpTVq6knrtzQv,287891,Velryssa,1,213916
BMXcpTVq6knrtzQv,287891,Toyqt,2,359420
FwdP9AGaWr463RJQ,287891,Mythroes,25,5397947
FwdP9AGaWr463RJQ,287891,Caydd,21,3351207
FwdP9AGaWr463RJQ,287891,Soome,14,2493931
FwdP9AGaWr463RJQ,287891,Kohbee,21,4267611
FwdP9AGaWr463RJQ,287891,Acturus,17,2800612
FwdP9AGaWr463RJQ,287891,Earrl,29,4926328
FwdP9AGaWr463RJQ,287891,Kopyedeep,13,2413775
FwdP9AGaWr463RJQ,287891,Brianjr,14,2292077
FwdP9AGaWr463RJQ,287891,Atalya,12,2033249
FwdP9AGaWr463RJQ,287891,Ayriea,5,888927
FwdP9AGaWr463RJQ,287891,Jampers,22,4665161
FwdP9AGaWr463RJQ,287891,Tawn,14,2642934
FwdP9AGaWr463RJQ,287891,Metönymy,7,529689
FwdP9AGaWr463RJQ,287891,Illestrae,16,2997522
FwdP9AGaWr463RJQ,287891,Psychodruid,15,2723897
FwdP9AGaWr463RJQ,287891,Valmet,13,1909348
FwdP9AGaWr463RJQ,287891,Petroll,9,1532888
FwdP9AGaWr463RJQ,287891,Divanance,26,5410033
FwdP9AGaWr463RJQ,287891,Elzam,8,1032937
FwdP9AGaWr463RJQ,287891,Toyqt,12,1841882
hC3ntdWAZ76vXTY9,287891,Metönymy,4,488845
hC3ntdWAZ76vXTY9,287891,Divanance,14,3175769
hC3ntdWAZ76vXTY9,287891,Kopyedeep,3,346249
hC3ntdWAZ76vXTY9,287891,Soome,3,521263
hC3ntdWAZ76vXTY9,287891,Jampers,8,1377312
hC3ntdWAZ76vXTY9,287891,Velryssa,5,1054304
hC3ntdWAZ76vXTY9,287891,Psychodruid,4,1080604
hC3ntdWAZ76vXTY9,287891,Earrl,12,2318612
hC3ntdWAZ76vXTY9,287891,Illestrae,12,2199464
hC3ntdWAZ76vXTY9,287891,Irvaeryss,4,648246
hC3ntdWAZ76vXTY9,287891,Kohbee,9,1792487
hC3ntdWAZ76vXTY9,287891,Caydd,9,1601547
hC3ntdWAZ76vXTY9,287891,Brianjr,3,387530
hC3ntdWAZ76vXTY9,287891,Mythroes,9,1781906
hC3ntdWAZ76vXTY9,287891,Acturus,8,1459952
hC3ntdWAZ76vXTY9,287891,Valmet,2,297511
hC3ntdWAZ76vXTY9,287891,Toyqt,8,1299793
hC3ntdWAZ76vXTY9,287891,Petroll,5,682632
hC3ntdWAZ76vXTY9,287891,Tawn,9,1553121
nmytFgqjNLAVrGhQ,287891,Valmet,3,343510
nmytFgqjNLAVrGhQ,287891,Mythroes,8,1860679
nmytFgqjNLAVrGhQ,287891,Ayriea,2,433049
nmytFgqjNLAVrGhQ,287891,Elzam,7,1223970
nmytFgqjNLAVrGhQ,287891,Petroll,4,785251
nmytFgqjNLAVrGhQ,287891,Metönymy,4,328088
nmytFgqjNLAVrGhQ,287891,Toyqt,9,1403753
nmytFgqjNLAVrGhQ,287891,Psychodruid,8,1663050
nmytFgqjNLAVrGhQ,287891,Earrl,7,1625447
nmytFgqjNLAVrGhQ,287891,Divanance,13,2565824
nmytFgqjNLAVrGhQ,287891,Tahvee,5,1012132
nmytFgqjNLAVrGhQ,287891,Acturus,4,670036
nmytFgqjNLAVrGhQ,287891,Irvaeryss,3,463902
nmytFgqjNLAVrGhQ,287891,Illestrae,11,1984747
nmytFgqjNLAVrGhQ,287891,Caydd,6,1160613
nmytFgqjNLAVrGhQ,287891,Kohbee,6,1400936
nmytFgqjNLAVrGhQ,287891,Brianjr,4,974698
nmytFgqjNLAVrGhQ,287891,Jampers,9,1400279
pHFAY7Qgjv9fayRN,287891,Psychodruid,4,1009093
pHFAY7Qgjv9fayRN,287891,Mythroes,6,1419017
pHFAY7Qgjv9fayRN,287891,Atalya,1,128512
pHFAY7Qgjv9fayRN,287891,Illestrae,7,1397005
pHFAY7Qgjv9fayRN,287891,Petroll,3,520910
pHFAY7Qgjv9fayRN,287891,Kohbee,4,978885
pHFAY7Qgjv9fayRN,287891,Valmet,3,475782
pHFAY7Qgjv9fayRN,287891,Toyqt,4,895281
pHFAY7Qgjv9fayRN,287891,Kopyedeep,3,617165
pHFAY7Qgjv9fayRN,287891,Tawn,2,350689
pHFAY7Qgjv9fayRN,287891,Brianjr,2,184411
pHFAY7Qgjv9fayRN,287891,Caydd,2,363654
pHFAY7Qgjv9fayRN,287891,Metönymy,4,292594
pHFAY7Qgjv9fayRN,287891,Elzam,1,185500
pHFAY7Qgjv9fayRN,287891,Jampers,3,624405
pHFAY7Qgjv9fayRN,287891,Acturus,4,670419
pHFAY7Qgjv9fayRN,287891,Earrl,8,1430855
pHFAY7Qgjv9fayRN,287891,Ayriea,1,225377
pHFAY7Qgjv9fayRN,287891,Soome,4,646671
pHFAY7Qgjv9fayRN,287891,Divanance,6,1426316
QzNhwagDRZX4FfBA,287891,Brianjr,1,85776
QzNhwagDRZX4FfBA,287891,Divanance,1,84033
QzNhwagDRZX4FfBA,287891,Kohbee,1,112071
vhb4rcfZyYDXWJ1w,287891,Mythroes,1,209389
vhb4rcfZyYDXWJ1w,287891,Kohbee,2,165735
vhb4rcfZyYDXWJ1w,287891,Caydd,1,215591
vhb4rcfZyYDXWJ1w,287891,Acturus,1,128549
vhb4rcfZyYDXWJ1w,287891,Earrl,1,219286
