player,hits,damage_taken,fight_count,primary_role,av_count
Illestrae,103.0,7431631.0,90,healer,1.1444444444444444
Earrl,111.0,7252110.0,90,tank,1.2333333333333334
Jampers,112.0,8540790.0,90,healer,1.2444444444444445
Mythroes,95.0,7304832.0,69,healer,1.3768115942028984
Metönymy,124.0,7734287.0,90,rdps,1.3777777777777778
Ayriea,115.0,8665227.0,80,rdps,1.4375
Elzam,126.0,9499253.0,78,mdps,1.6153846153846154
Toyqt,145.0,10895082.0,87,mdps,1.6666666666666667
Acturus,156.0,11707282.0,90,healer,1.7333333333333334
Irvaeryss,149.0,9301657.0,83,mdps,1.7951807228915662
Petroll,167.0,12470580.0,90,rdps,1.8555555555555556
Stradivarus,117.0,7902248.0,60,rdps,1.95
Tawn,173.0,12869516.0,86,rdps,2.011627906976744
Kopyedeep,95.0,7066585.0,47,rdps,2.021276595744681
Brianjr,182.0,14191643.0,90,mdps,2.022222222222222
Psychodruid,174.0,12410744.0,86,rdps,2.0232558139534884
Kohbee,194.0,14490851.0,87,rdps,2.2298850574712645
Valmet,210.0,13338569.0,90,mdps,2.3333333333333335
Shadowbaine,108.0,8002260.0,46,rdps,2.347826086956522
Ultray,204.0,15092400.0,77,rdps,2.6493506493506493
Velryssa,83.0,6526000.0,30,mdps,2.7666666666666666
Divinance,764.0,42111284.0,90,tank,8.488888888888889
