player,count,fight_count,primary_role,av_count
Tawn,811.0,810,rdps,1.0012345679012347
Kopyedeep,917.0,935,rdps,0.9807486631016042
Elzam,414.0,640,mdps,0.646875
Petroll,651.0,1061,rdps,0.6135721017907634
Toyqt,420.0,841,mdps,0.4994054696789536
Acturus,401.0,882,healer,0.4546485260770975
Brianjr,468.0,1100,mdps,0.4254545454545455
Kohbee,441.0,1038,rdps,0.42485549132947975
Atalya,169.0,415,mdps,0.4072289156626506
Soome,279.0,696,rdps,0.40086206896551724
Jampers,367.0,990,healer,0.3707070707070707
Ayriea,301.0,895,rdps,0.33631284916201115
Illestrae,357.0,1091,healer,0.32722273143904673
Psychodruid,267.0,954,rdps,0.279874213836478
Tahvee,204.0,743,rdps,0.27456258411843876
Velryssa,118.0,517,mdps,0.22823984526112184
Valmet,210.0,964,mdps,0.21784232365145229
Metönymy,198.0,1081,rdps,0.18316373728029603
Shadowbaine,162.0,887,rdps,0.1826381059751973
Mythroes,179.0,1019,healer,0.17566241413150147
Earrl,149.0,1112,tank,0.13399280575539568
Divinance,139.0,1112,tank,0.125
Caydd,72.0,651,healer,0.11059907834101383
Irvaeryss,42.0,872,mdps,0.0481651376146789
