player,uses,fight_count,primary_role,av_count
Tawn,966,810,rdps,1.1925925925925926
Valmet,1108,964,mdps,1.1493775933609958
Brianjr,1253,1100,mdps,1.1390909090909092
Kopyedeep,1065,935,rdps,1.13903743315508
Kohbee,1114,1038,rdps,1.0732177263969171
Metönymy,1144,1081,rdps,1.0582793709528215
Petroll,1110,1061,rdps,1.0461828463713478
Divinance,1157,1112,tank,1.0404676258992807
Shadowbaine,913,887,rdps,1.0293122886133033
Atalya,420,415,mdps,1.0120481927710843
Elzam,645,640,mdps,1.0078125
Earrl,1090,1112,tank,0.9802158273381295
Soome,666,696,rdps,0.9568965517241379
Velryssa,487,517,mdps,0.941972920696325
Ayriea,798,895,rdps,0.8916201117318435
Toyqt,697,841,mdps,0.8287752675386445
Tahvee,507,743,rdps,0.6823687752355316
Irvaeryss,220,872,mdps,0.25229357798165136
Jampers,130,990,healer,0.13131313131313133
Mythroes,107,1019,healer,0.10500490677134446
Caydd,55,651,healer,0.08448540706605223
Psychodruid,78,954,rdps,0.08176100628930817
Illestrae,46,1091,healer,0.04216315307057745
Acturus,10,882,healer,0.011337868480725623
