player,hits,damage_taken,fight_count,primary_role,av_count
Ultray,25.0,1221660.0,39,rdps,0.6410256410256411
Tawn,41.0,1988687.0,49,rdps,0.8367346938775511
Earrl,64.0,2499490.0,67,tank,0.9552238805970149
Psychodruid,72.0,3464404.0,67,rdps,1.0746268656716418
Shadowbaine,58.0,2889381.0,52,rdps,1.1153846153846154
Tahvee,55.0,2749279.0,49,rdps,1.1224489795918366
Stradivarus,38.0,1861143.0,33,rdps,1.1515151515151516
Metönymy,84.0,4093240.0,67,rdps,1.2537313432835822
Ayriea,77.0,3730358.0,57,rdps,1.3508771929824561
Elzam,81.0,3966392.0,59,mdps,1.3728813559322033
Petroll,93.0,4566015.0,67,rdps,1.3880597014925373
Divinance,93.0,3248883.0,67,tank,1.3880597014925373
Soome,26.0,1271267.0,18,rdps,1.4444444444444444
Kopyedeep,74.0,3678937.0,49,rdps,1.510204081632653
Illestrae,85.0,4042751.0,56,healer,1.5178571428571428
Kohbee,77.0,3779752.0,47,rdps,1.6382978723404256
Caydd,110.0,4919926.0,67,healer,1.6417910447761195
Jampers,111.0,5351295.0,67,healer,1.6567164179104477
Acturus,134.0,6159723.0,67,healer,2.0
Irvaeryss,104.0,4394381.0,48,mdps,2.1666666666666665
Velryssa,40.0,2021060.0,18,mdps,2.2222222222222223
Valmet,164.0,6697967.0,67,mdps,2.4477611940298507
Mythroes,103.0,4993902.0,40,healer,2.575
Toyqt,98.0,4553953.0,38,mdps,2.5789473684210527
Brianjr,173.0,8686668.0,67,mdps,2.582089552238806
Atalya,59.0,2951476.0,18,mdps,3.2777777777777777
