player,hits,damage_taken,fight_count,primary_role,av_count
Illestrae,45.0,8508797.0,56,healer,0.8035714285714286
Tawn,39.0,5939571.0,49,rdps,0.7959183673469388
Tahvee,39.0,5741863.0,49,rdps,0.7959183673469388
Caydd,52.0,3858860.0,67,healer,0.7761194029850746
Psychodruid,51.0,7173727.0,67,rdps,0.7611940298507462
Jampers,50.0,7455912.0,67,healer,0.746268656716418
Shadowbaine,36.0,5619447.0,52,rdps,0.6923076923076923
Ultray,27.0,4115876.0,39,rdps,0.6923076923076923
Ayriea,39.0,5846721.0,57,rdps,0.6842105263157895
Mythroes,27.0,6570075.0,40,healer,0.675
Kohbee,31.0,4925347.0,47,rdps,0.6595744680851063
Petroll,44.0,6887791.0,67,rdps,0.6567164179104478
Kopyedeep,31.0,4641097.0,49,rdps,0.6326530612244898
Metönymy,41.0,7893552.0,67,rdps,0.6119402985074627
Irvaeryss,29.0,3771115.0,48,mdps,0.6041666666666666
Soome,10.0,1417746.0,18,rdps,0.5555555555555556
Stradivarus,16.0,2363820.0,33,rdps,0.48484848484848486
Elzam,27.0,4144083.0,59,mdps,0.4576271186440678
Valmet,29.0,3598960.0,67,mdps,0.43283582089552236
Toyqt,16.0,2300005.0,38,mdps,0.42105263157894735
Acturus,26.0,4175078.0,67,healer,0.3880597014925373
Brianjr,21.0,3460194.0,67,mdps,0.31343283582089554
Earrl,12.0,1376070.0,67,tank,0.1791044776119403
Divinance,11.0,1156964.0,67,tank,0.16417910447761194
Atalya,0.0,0.0,18,mdps,0.0
Velryssa,0.0,0.0,18,mdps,0.0
