log_id,spell_id,player,hits,damage_taken
6vGW8nAf4Tr3YXc7,285125,Psychodruid,2,227634
6vGW8nAf4Tr3YXc7,285125,Brianjr,2,231500
6vGW8nAf4Tr3YXc7,285125,Shadowbaine,1,110106
6vGW8nAf4Tr3YXc7,285125,Ayriea,1,114916
6vGW8nAf4Tr3YXc7,285125,Mythroes,1,130874
9BMrygDJfw71aLdv,285125,Illestrae,13,1241961
9BMrygDJfw71aLdv,285125,Mythroes,26,2825524
9BMrygDJfw71aLdv,285125,Metönymy,8,857726
9BMrygDJfw71aLdv,285125,Valmet,2,186979
9BMrygDJfw71aLdv,285125,Jampers,12,1291255
9BMrygDJfw71aLdv,285125,Caydd,3,243255
9BMrygDJfw71aLdv,285125,Earrl,8,647508
9BMrygDJfw71aLdv,285125,Psychodruid,15,1648649
9BMrygDJfw71aLdv,285125,Soome,9,987873
9BMrygDJfw71aLdv,285125,Brianjr,8,1017388
9BMrygDJfw71aLdv,285125,Velryssa,5,575772
9BMrygDJfw71aLdv,285125,Kohbee,4,427917
9BMrygDJfw71aLdv,285125,Toyqt,17,1575583
9BMrygDJfw71aLdv,285125,Petroll,3,361806
9BMrygDJfw71aLdv,285125,Shadowbaine,13,1428981
9BMrygDJfw71aLdv,285125,Ayriea,13,1442218
9BMrygDJfw71aLdv,285125,Kopyedeep,9,1041555
9BMrygDJfw71aLdv,285125,Tawn,10,1077566
9BMrygDJfw71aLdv,285125,Tahvee,12,1363600
9BMrygDJfw71aLdv,285125,Divinance,14,1169666
CAfkmZBRgWqcGwYy,285125,Shadowbaine,1,110106
CAfkmZBRgWqcGwYy,285125,Brianjr,2,231500
CAfkmZBRgWqcGwYy,285125,Psychodruid,2,227634
CAfkmZBRgWqcGwYy,285125,Ayriea,1,114916
CAfkmZBRgWqcGwYy,285125,Mythroes,1,130874
kpF7bNYdTXhPgB4D,285125,Brianjr,2,231500
kpF7bNYdTXhPgB4D,285125,Mythroes,1,130874
kpF7bNYdTXhPgB4D,285125,Shadowbaine,1,110106
kpF7bNYdTXhPgB4D,285125,Psychodruid,2,227634
kpF7bNYdTXhPgB4D,285125,Ayriea,1,114916
kQhzvK7DCnjm2Lt4,285125,Toyqt,0,0
kQhzvK7DCnjm2Lt4,285125,Caydd,1,104851
kQhzvK7DCnjm2Lt4,285125,Valmet,2,182248
kQhzvK7DCnjm2Lt4,285125,Tahvee,5,564528
kQhzvK7DCnjm2Lt4,285125,Brianjr,4,437142
kQhzvK7DCnjm2Lt4,285125,Velryssa,1,108117
kQhzvK7DCnjm2Lt4,285125,Metönymy,1,123298
kQhzvK7DCnjm2Lt4,285125,Illestrae,2,215059
kQhzvK7DCnjm2Lt4,285125,Acturus,6,631683
kQhzvK7DCnjm2Lt4,285125,Earrl,6,628813
kQhzvK7DCnjm2Lt4,285125,Divinance,2,152335
kQhzvK7DCnjm2Lt4,285125,Psychodruid,3,328487
kQhzvK7DCnjm2Lt4,285125,Mythroes,4,449388
kQhzvK7DCnjm2Lt4,285125,Irvaeryss,7,636830
kQhzvK7DCnjm2Lt4,285125,Shadowbaine,2,222805
kQhzvK7DCnjm2Lt4,285125,Tawn,1,111899
NkmAb6paGRhF7Z3P,285125,Brianjr,6,674150
NkmAb6paGRhF7Z3P,285125,Jampers,6,622694
NkmAb6paGRhF7Z3P,285125,Shadowbaine,16,1822196
NkmAb6paGRhF7Z3P,285125,Mythroes,11,1243927
NkmAb6paGRhF7Z3P,285125,Tawn,12,1314811
NkmAb6paGRhF7Z3P,285125,Illestrae,7,661303
NkmAb6paGRhF7Z3P,285125,Kopyedeep,4,505878
NkmAb6paGRhF7Z3P,285125,Valmet,7,650644
NkmAb6paGRhF7Z3P,285125,Tahvee,9,973898
NkmAb6paGRhF7Z3P,285125,Soome,12,1236638
NkmAb6paGRhF7Z3P,285125,Metönymy,9,962721
NkmAb6paGRhF7Z3P,285125,Kohbee,6,671727
NkmAb6paGRhF7Z3P,285125,Ayriea,10,1144797
NkmAb6paGRhF7Z3P,285125,Psychodruid,13,1494669
NkmAb6paGRhF7Z3P,285125,Toyqt,5,588546
NkmAb6paGRhF7Z3P,285125,Petroll,9,1001922
NkmAb6paGRhF7Z3P,285125,Divinance,17,1304420
NkmAb6paGRhF7Z3P,285125,Acturus,10,1060538
NkmAb6paGRhF7Z3P,285125,Velryssa,3,364871
NkmAb6paGRhF7Z3P,285125,Earrl,11,834216
