player,hits,damage_taken,fight_count,primary_role,av_count
Caydd,2.0,255882.0,202,healer,0.009900990099009901
Brianjr,5.0,593816.0,258,mdps,0.01937984496124031
Ayriea,7.0,960597.0,246,rdps,0.028455284552845527
Kohbee,8.0,970612.0,241,rdps,0.03319502074688797
Velryssa,9.0,1046659.0,260,mdps,0.03461538461538462
Toyqt,5.0,582647.0,130,mdps,0.038461538461538464
Divinance,14.0,1152378.0,287,tank,0.04878048780487805
Soome,14.0,1621850.0,280,rdps,0.05
Metönymy,15.0,1864127.0,287,rdps,0.05226480836236934
Tahvee,12.0,1513063.0,226,rdps,0.05309734513274336
Mythroes,18.0,2266410.0,287,healer,0.0627177700348432
Atalya,4.0,385086.0,62,mdps,0.06451612903225806
Hokk,5.0,586329.0,76,mdps,0.06578947368421052
Irvaeryss,17.0,1699939.0,232,mdps,0.07327586206896551
Petroll,30.0,3558519.0,261,rdps,0.11494252873563218
Jampers,23.0,2985233.0,171,healer,0.13450292397660818
Tawn,39.0,4765799.0,287,rdps,0.13588850174216027
Kopyedeep,36.0,3888619.0,257,rdps,0.14007782101167315
Shadowbaine,51.0,5807222.0,287,rdps,0.17770034843205576
Acturus,37.0,3988589.0,204,healer,0.18137254901960784
Elzam,5.0,589604.0,27,mdps,0.18518518518518517
Earrl,56.0,5533501.0,287,tank,0.1951219512195122
Illestrae,63.0,7089169.0,284,healer,0.22183098591549297
Psychodruid,85.0,9532041.0,287,rdps,0.2961672473867596
Valmet,88.0,7956763.0,287,mdps,0.30662020905923343
