player,count,fight_count,primary_role,av_count
Brian,671,1690.0,damage,0.3970414201183432
Future,321,972.0,damage,0.33024691358024694
Mythrose,494,1676.0,healer,0.2947494033412888
Stradivarus,263,934.0,damage,0.2815845824411135
Cagliostro,415,1573.0,damage,0.2638270820089002
Ayriea,386,1652.0,damage,0.23365617433414043
Shallowfall,308,1496.0,damage,0.20588235294117646
Shadowbaine,312,1553.0,damage,0.20090148100450742
Psychodruid,253,1489.0,damage,0.1699126930826058
Radiantldeal,244,1635.0,healer,0.1492354740061162
Metonymy,233,1695.0,damage,0.13746312684365783
Illestra,184,1693.0,healer,0.10868281157708211
Petrol,178,1723.0,damage,0.1033081834010447
Acturus,157,1670.0,healer,0.09401197604790419
Vaelyra,101,1604.0,damage,0.06296758104738155
Velryssa,68,1098.0,damage,0.061930783242258654
Earrl,97,1688.0,tank,0.057464454976303314
Divanance,89,1712.0,tank,0.051985981308411214
