player,uses,fight_count,primary_role,av_count
Earrl,520,102,tank,5.098039215686274
Draigo,559,102,tank,5.480392156862745
Petrol,676,102,rdps,6.627450980392157
Psychodruid,545,76,rdps,7.171052631578948
Metonymy,734,102,rdps,7.196078431372549
Illestra,329,44,healer,7.4772727272727275
Tawn,735,98,rdps,7.5
Acturus,792,102,healer,7.764705882352941
Shadowbaine,779,100,rdps,7.79
Kopyelock,604,77,rdps,7.8441558441558445
Vaelyra,806,102,mdps,7.901960784313726
Stradlock,810,101,rdps,8.01980198019802
Mythrose,502,62,healer,8.096774193548388
Vampyric,860,102,mdps,8.431372549019608
Sumi,872,102,rdps,8.549019607843137
Toy,841,98,mdps,8.581632653061224
Grombrindal,622,72,mdps,8.63888888888889
Ayriea,892,101,rdps,8.831683168316832
Liavre,491,53,mdps,9.264150943396226
Jampers,935,98,healer,9.540816326530612
Katanescence,1067,102,healer,10.46078431372549
Brian,825,76,mdps,10.855263157894736
