log_id,spell_id,player,duration,uses
9t1JjYfvbZkyWCGP,277007,Kopyelock,280936,11
9t1JjYfvbZkyWCGP,277007,Acturus,452615,21
9t1JjYfvbZkyWCGP,277007,Vaelyra,338863,14
9t1JjYfvbZkyWCGP,277007,Ayriea,268405,13
9t1JjYfvbZkyWCGP,277007,Toy,405794,19
9t1JjYfvbZkyWCGP,277007,Psychodruid,404426,15
9t1JjYfvbZkyWCGP,277007,Illestra,225157,15
9t1JjYfvbZkyWCGP,277007,Metonymy,293009,16
9t1JjYfvbZkyWCGP,277007,Jampers,503401,23
9t1JjYfvbZkyWCGP,277007,Brian,349636,14
9t1JjYfvbZkyWCGP,277007,Earrl,121067,6
9t1JjYfvbZkyWCGP,277007,Vampyric,37391,3
9t1JjYfvbZkyWCGP,277007,Tawn,106922,6
9t1JjYfvbZkyWCGP,277007,Mythrose,307361,14
9t1JjYfvbZkyWCGP,277007,Velryssa,29982,1
9t1JjYfvbZkyWCGP,277007,Grombrindal,51842,2
9t1JjYfvbZkyWCGP,277007,Stradlock,258903,11
9t1JjYfvbZkyWCGP,277007,Petrol,235304,13
9t1JjYfvbZkyWCGP,277007,Draigo,117523,5
9t1JjYfvbZkyWCGP,277007,Shadowbaine,310451,14
9t1JjYfvbZkyWCGP,277007,Velsummers,511911,24
ac1rQnYvZWRjypVD,277007,Jampers,140555,6
ac1rQnYvZWRjypVD,277007,Tawn,23740,1
ac1rQnYvZWRjypVD,277007,Shadowbaine,6002,1
ac1rQnYvZWRjypVD,277007,Velsummers,30004,1
ac1rQnYvZWRjypVD,277007,Ayriea,34890,3
ac1rQnYvZWRjypVD,277007,Kopyelock,60003,2
ac1rQnYvZWRjypVD,277007,Brian,60704,3
ac1rQnYvZWRjypVD,277007,Draigo,38577,2
ac1rQnYvZWRjypVD,277007,Uuglei,61291,3
ac1rQnYvZWRjypVD,277007,Mythrose,119563,5
ac1rQnYvZWRjypVD,277007,Petrol,59687,3
ac1rQnYvZWRjypVD,277007,Illestra,125293,5
ac1rQnYvZWRjypVD,277007,Acturus,33361,3
ac1rQnYvZWRjypVD,277007,Velryssa,42631,2
ac1rQnYvZWRjypVD,277007,Stradlock,142696,6
ac1rQnYvZWRjypVD,277007,Vampyric,22020,3
ac1rQnYvZWRjypVD,277007,Psychodruid,20693,1
GbryNmfD98zcH6Jn,277007,Brian,880380,35
GbryNmfD98zcH6Jn,277007,Draigo,508774,21
GbryNmfD98zcH6Jn,277007,Grombrindal,219952,11
