player,hits,damage_taken,fight_count,primary_role,av_count
Jampers,1,231227,32,healer,0.03125
Ayriea,1,240940,29,rdps,0.034482758620689655
Petrol,2,414573,32,rdps,0.0625
Shadowbaine,1,216062,15,rdps,0.06666666666666667
Uuglei,2,397562,29,mdps,0.06896551724137931
Vampyric,3,647013,32,mdps,0.09375
Toy,2,408796,14,mdps,0.14285714285714285
Acturus,5,1125920,32,healer,0.15625
Dough,3,589576,18,rdps,0.16666666666666666
Psychodruid,5,1109483,30,rdps,0.16666666666666666
Tawn,6,1354489,31,rdps,0.1935483870967742
Mythrose,6,1401265,31,healer,0.1935483870967742
Stradlock,4,846814,19,rdps,0.21052631578947367
Sumi,4,961323,18,rdps,0.2222222222222222
Velryssa,7,1564797,28,mdps,0.25
Katanescence,6,1448014,24,healer,0.25
Illestra,8,1745919,32,healer,0.25
Brian,8,1920426,32,mdps,0.25
Metonymy,10,2363800,31,rdps,0.3225806451612903
Vaelyra,11,2316299,32,mdps,0.34375
Grombrindal,4,964522,11,mdps,0.36363636363636365
Liavre,5,1184591,13,mdps,0.38461538461538464
Draigo,14,2430850,32,tank,0.4375
Earrl,22,4124030,32,tank,0.6875
