player,count,fight_count,primary_role,av_count
Kopyelock,393,548,rdps,0.7171532846715328
Grombrindal,448,705,mdps,0.6354609929078014
Tawn,351,703,rdps,0.4992887624466572
Stradlock,315,636,rdps,0.49528301886792453
Earrl,351,807,tank,0.4349442379182156
Vampyric,267,630,mdps,0.4238095238095238
Ayriea,314,758,rdps,0.41424802110817943
Psychodruid,268,675,rdps,0.397037037037037
Brian,298,764,mdps,0.3900523560209424
Sumi,181,477,rdps,0.37945492662473795
Illestra,241,747,healer,0.32262382864792505
Toy,212,677,mdps,0.31314623338257014
Petrol,241,808,rdps,0.29826732673267325
Acturus,209,762,healer,0.2742782152230971
Mythrose,177,702,healer,0.25213675213675213
Shadowbaine,161,664,rdps,0.24246987951807228
Jampers,173,756,healer,0.22883597883597884
Draigo,182,808,tank,0.22524752475247525
Katanescence,88,392,healer,0.22448979591836735
Metonymy,179,804,rdps,0.22263681592039802
Velryssa,96,591,mdps,0.16243654822335024
Vaelyra,30,591,mdps,0.050761421319796954
