player,hits,damage_taken,fight_count,primary_role,av_count
Tawn,24,512953,13,rdps,1.8461538461538463
Shadowbaine,39,838239,16,rdps,2.4375
Jampers,42,889103,15,healer,2.8
Ayriea,37,808742,13,rdps,2.8461538461538463
Sumi,28,626483,8,rdps,3.5
Petrol,67,1414053,17,rdps,3.9411764705882355
Stradlock,52,1070448,13,rdps,4.0
Dough,42,923870,10,rdps,4.2
Metonymy,79,1651819,15,rdps,5.266666666666667
Illestra,85,1714369,16,healer,5.3125
Psychodruid,108,2029012,17,rdps,6.352941176470588
Acturus,69,1430561,10,healer,6.9
Mythrose,98,2029828,13,healer,7.538461538461538
Katanescence,163,2960911,14,healer,11.642857142857142
Vampyric,236,4331856,16,mdps,14.75
Grombrindal,226,5002483,15,mdps,15.066666666666666
Toy,285,5797047,17,mdps,16.764705882352942
Velryssa,259,5458207,15,mdps,17.266666666666666
Vaelyra,141,2574718,8,mdps,17.625
Uuglei,294,5984144,16,mdps,18.375
Earrl,347,6710139,17,tank,20.41176470588235
Brian,222,4613614,9,mdps,24.666666666666668
Liavre,378,8099738,13,mdps,29.076923076923077
Draigo,966,15094646,17,tank,56.8235294117647
