player,uses,fight_count,primary_role,av_count
Earrl,305,90,tank,3.388888888888889
Draigo,360,90,tank,4.0
Grombrindal,353,85,mdps,4.152941176470589
Brian,357,85,mdps,4.2
Vaelyra,351,79,mdps,4.443037974683544
Petrol,422,90,rdps,4.688888888888889
Metonymy,423,90,rdps,4.7
Vampyric,426,90,mdps,4.733333333333333
Velryssa,334,70,mdps,4.771428571428571
Liavre,226,47,mdps,4.808510638297872
Shadowbaine,265,55,rdps,4.818181818181818
Ayriea,435,88,rdps,4.943181818181818
Stradlock,354,70,rdps,5.057142857142857
Sumi,416,79,rdps,5.265822784810126
Tawn,234,43,rdps,5.441860465116279
Uuglei,491,79,mdps,6.215189873417722
Toy,562,90,mdps,6.2444444444444445
Acturus,576,90,healer,6.4
Katanescence,439,66,healer,6.651515151515151
Mythrose,571,84,healer,6.7976190476190474
Illestra,624,90,healer,6.933333333333334
Jampers,632,90,healer,7.022222222222222
