log_id,player,healing_done
4zpRXjQA3Fhg9KdJ,Katanescence,20205076
4zpRXjQA3Fhg9KdJ,Mythrose,32718124
4zpRXjQA3Fhg9KdJ,Illestra,26479207
4zpRXjQA3Fhg9KdJ,Acturus,39387207
ArqaVzbYtW7BG2Cx,Acturus,2235723
ArqaVzbYtW7BG2Cx,Jampers,1385888
ArqaVzbYtW7BG2Cx,Illestra,1929074
ArqaVzbYtW7BG2Cx,Katanescence,2471953
ArVhTvdPmLf9JHjR,Jampers,6204837
ArVhTvdPmLf9JHjR,Katanescence,8831341
ArVhTvdPmLf9JHjR,Illestra,7545433
ArVhTvdPmLf9JHjR,Acturus,7395242
DycbAK6f1PL7Wpkd,Acturus,7580746
DycbAK6f1PL7Wpkd,Mythrose,7060803
DycbAK6f1PL7Wpkd,Illestra,6617745
DycbAK6f1PL7Wpkd,Katanescence,4988464
GdR1r6pVwA9TWXbJ,Illestra,3541028
GdR1r6pVwA9TWXbJ,Mythrose,6327616
GdR1r6pVwA9TWXbJ,Katanescence,5731140
GdR1r6pVwA9TWXbJ,Acturus,5595810
KmVAr4DMhcvFjb3L,Katanescence,3169430
KmVAr4DMhcvFjb3L,Acturus,11306194
KmVAr4DMhcvFjb3L,Mythrose,9690370
KmVAr4DMhcvFjb3L,Illestra,7873357
nCLBA4NJHkKmzM37,Illestra,20400760
nCLBA4NJHkKmzM37,Katanescence,7046131
nCLBA4NJHkKmzM37,Acturus,26075218
nCLBA4NJHkKmzM37,Jampers,9172610
nCLBA4NJHkKmzM37,Mythrose,23573622
NyMK6RVGtqaXH8wx,Illestra,17532064
NyMK6RVGtqaXH8wx,Jampers,11680638
NyMK6RVGtqaXH8wx,Acturus,25025953
NyMK6RVGtqaXH8wx,Mythrose,21999427
RNq3d6kZcAbtfhzx,Jampers,14892285
RNq3d6kZcAbtfhzx,Mythrose,27438090
RNq3d6kZcAbtfhzx,Acturus,28873662
RNq3d6kZcAbtfhzx,Illestra,21308003
T3z8bj7yJxXwKDGL,Mythrose,2922538
T3z8bj7yJxXwKDGL,Acturus,3165052
T3z8bj7yJxXwKDGL,Jampers,848452
T3z8bj7yJxXwKDGL,Katanescence,2192244
T7xMvwtyG9YaP6k3,Illestra,3208814
T7xMvwtyG9YaP6k3,Acturus,4800714
T7xMvwtyG9YaP6k3,Jampers,2344059
T7xMvwtyG9YaP6k3,Mythrose,3762549
Vg9KncM4fFbRT6BD,Jampers,1935979
Vg9KncM4fFbRT6BD,Mythrose,3378965
Vg9KncM4fFbRT6BD,Illestra,2916880
Vg9KncM4fFbRT6BD,Katanescence,1995706
ybXw42Q1JWgKmaY3,Jampers,2247933
ybXw42Q1JWgKmaY3,Mythrose,3059427
ybXw42Q1JWgKmaY3,Acturus,2915231
ybXw42Q1JWgKmaY3,Illestra,2318371
