player,count,fight_count,primary_role,av_count
Uuglei,238,36,mdps,6.611111111111111
Toy,410,95,mdps,4.315789473684211
Liavre,324,89,mdps,3.640449438202247
Brian,406,114,mdps,3.56140350877193
Vampyric,414,118,mdps,3.5084745762711864
Vaelyra,330,111,mdps,2.972972972972973
Draigo,308,118,tank,2.610169491525424
Ayriea,254,110,rdps,2.309090909090909
Grombrindal,146,87,mdps,1.6781609195402298
Sumi,172,117,rdps,1.4700854700854702
Velryssa,145,100,mdps,1.45
Tawn,104,80,rdps,1.3
Psychodruid,149,118,rdps,1.2627118644067796
Metonymy,140,118,rdps,1.1864406779661016
Earrl,79,118,tank,0.6694915254237288
Petrol,57,118,rdps,0.4830508474576271
Illestra,40,117,healer,0.3418803418803419
Katanescence,6,75,healer,0.08
Acturus,9,117,healer,0.07692307692307693
