player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,423,10515882,110,rdps,3.8454545454545452
Psychodruid,454,11248420,118,rdps,3.847457627118644
Shadowbaine,254,6280059,52,rdps,4.884615384615385
Metonymy,581,14457548,118,rdps,4.923728813559322
Tawn,403,9905375,80,rdps,5.0375
Sumi,593,14903530,117,rdps,5.068376068376068
Petrol,618,15562945,118,rdps,5.237288135593221
Jampers,401,8757868,75,healer,5.346666666666667
Stradlock,662,16560471,116,rdps,5.706896551724138
Illestra,767,18405110,117,healer,6.555555555555555
Mythrose,761,16752963,106,healer,7.179245283018868
Velryssa,761,18842366,100,mdps,7.61
Kopyelock,93,2327887,12,rdps,7.75
Toy,837,19258327,95,mdps,8.810526315789474
Brian,1034,25606371,114,mdps,9.070175438596491
Vampyric,1096,26419371,118,mdps,9.288135593220339
Vaelyra,1035,24484117,111,mdps,9.324324324324325
Grombrindal,825,20114234,87,mdps,9.482758620689655
Uuglei,349,8182146,36,mdps,9.694444444444445
Katanescence,745,18210589,75,healer,9.933333333333334
Acturus,1169,28576443,117,healer,9.991452991452991
Liavre,913,22733477,89,mdps,10.258426966292134
Dough,405,9664383,38,rdps,10.657894736842104
