log_id,spell_id,player,hits,damage_taken
4zpRXjQA3Fhg9KdJ,264210,Uuglei,149,3524991
4zpRXjQA3Fhg9KdJ,264210,Liavre,218,5274285
4zpRXjQA3Fhg9KdJ,264210,Shadowbaine,67,1602738
4zpRXjQA3Fhg9KdJ,264210,Sumi,72,1821281
4zpRXjQA3Fhg9KdJ,264210,Illestra,105,2556157
4zpRXjQA3Fhg9KdJ,264210,Stradlock,94,2337554
4zpRXjQA3Fhg9KdJ,264210,Mythrose,98,2195717
4zpRXjQA3Fhg9KdJ,264210,Brian,207,5045423
4zpRXjQA3Fhg9KdJ,264210,Psychodruid,84,2051870
4zpRXjQA3Fhg9KdJ,264210,Katanescence,117,2793979
4zpRXjQA3Fhg9KdJ,264210,Velryssa,175,4260822
4zpRXjQA3Fhg9KdJ,264210,Vampyric,177,4138865
4zpRXjQA3Fhg9KdJ,264210,Acturus,199,4861084
4zpRXjQA3Fhg9KdJ,264210,Vaelyra,158,3758262
4zpRXjQA3Fhg9KdJ,264210,Petrol,68,1713999
4zpRXjQA3Fhg9KdJ,264210,Tawn,105,2572561
4zpRXjQA3Fhg9KdJ,264210,Metonymy,76,1863014
4zpRXjQA3Fhg9KdJ,264210,Ayriea,55,1354795
ArqaVzbYtW7BG2Cx,264210,Illestra,6,150671
ArqaVzbYtW7BG2Cx,264210,Uuglei,6,150235
ArqaVzbYtW7BG2Cx,264210,Brian,6,151666
ArqaVzbYtW7BG2Cx,264210,Liavre,24,612601
ArqaVzbYtW7BG2Cx,264210,Shadowbaine,6,153669
ArqaVzbYtW7BG2Cx,264210,Kopyelock,6,154771
ArqaVzbYtW7BG2Cx,264210,Jampers,2,43335
ArqaVzbYtW7BG2Cx,264210,Vaelyra,18,447023
ArqaVzbYtW7BG2Cx,264210,Acturus,12,304314
ArqaVzbYtW7BG2Cx,264210,Katanescence,12,289810
ArqaVzbYtW7BG2Cx,264210,Velryssa,2,51407
ArqaVzbYtW7BG2Cx,264210,Vampyric,12,306280
ArVhTvdPmLf9JHjR,264210,Shadowbaine,61,1531459
ArVhTvdPmLf9JHjR,264210,Cagliostro,94,2274150
ArVhTvdPmLf9JHjR,264210,Acturus,78,1936177
ArVhTvdPmLf9JHjR,264210,Illestra,99,2422679
ArVhTvdPmLf9JHjR,264210,Liavre,122,3074057
ArVhTvdPmLf9JHjR,264210,Dough,110,2609322
ArVhTvdPmLf9JHjR,264210,Metonymy,57,1436376
ArVhTvdPmLf9JHjR,264210,Jampers,89,1933502
ArVhTvdPmLf9JHjR,264210,Vampyric,99,2393416
ArVhTvdPmLf9JHjR,264210,Sumi,83,2110990
ArVhTvdPmLf9JHjR,264210,Ayriea,54,1310258
ArVhTvdPmLf9JHjR,264210,Katanescence,120,2927062
ArVhTvdPmLf9JHjR,264210,Toy,113,2547812
ArVhTvdPmLf9JHjR,264210,Vaelyra,117,2757575
ArVhTvdPmLf9JHjR,264210,Psychodruid,90,2246822
ArVhTvdPmLf9JHjR,264210,Petrol,80,2011287
ArVhTvdPmLf9JHjR,264210,Stradlock,76,1869879
ArVhTvdPmLf9JHjR,264210,Brian,108,2715204
DycbAK6f1PL7Wpkd,264210,Grombrindal,55,1359851
DycbAK6f1PL7Wpkd,264210,Mythrose,46,1045682
DycbAK6f1PL7Wpkd,264210,Uuglei,30,754669
DycbAK6f1PL7Wpkd,264210,Shadowbaine,48,1167837
DycbAK6f1PL7Wpkd,264210,Vaelyra,58,1397309
DycbAK6f1PL7Wpkd,264210,Acturus,42,1026735
DycbAK6f1PL7Wpkd,264210,Vampyric,48,1171574
DycbAK6f1PL7Wpkd,264210,Katanescence,24,624433
DycbAK6f1PL7Wpkd,264210,Sumi,24,594826
DycbAK6f1PL7Wpkd,264210,Liavre,30,748582
DycbAK6f1PL7Wpkd,264210,Tawn,58,1449480
DycbAK6f1PL7Wpkd,264210,Petrol,18,461113
DycbAK6f1PL7Wpkd,264210,Psychodruid,12,302098
DycbAK6f1PL7Wpkd,264210,Metonymy,26,666815
DycbAK6f1PL7Wpkd,264210,Illestra,6,155900
DycbAK6f1PL7Wpkd,264210,Stradlock,31,808676
DycbAK6f1PL7Wpkd,264210,Toy,54,1353325
DycbAK6f1PL7Wpkd,264210,Kopyelock,42,1060801
GdR1r6pVwA9TWXbJ,264210,Illestra,14,345616
GdR1r6pVwA9TWXbJ,264210,Sumi,18,441153
GdR1r6pVwA9TWXbJ,264210,Acturus,47,1138364
GdR1r6pVwA9TWXbJ,264210,Kopyelock,27,648571
GdR1r6pVwA9TWXbJ,264210,Stradlock,32,828219
GdR1r6pVwA9TWXbJ,264210,Metonymy,18,457124
GdR1r6pVwA9TWXbJ,264210,Petrol,30,750409
GdR1r6pVwA9TWXbJ,264210,Mythrose,38,861098
GdR1r6pVwA9TWXbJ,264210,Vampyric,44,1046603
GdR1r6pVwA9TWXbJ,264210,Tawn,34,855665
GdR1r6pVwA9TWXbJ,264210,Brian,30,737990
GdR1r6pVwA9TWXbJ,264210,Katanescence,24,549273
GdR1r6pVwA9TWXbJ,264210,Kiwisoda,8,165919
GdR1r6pVwA9TWXbJ,264210,Uuglei,68,1535661
GdR1r6pVwA9TWXbJ,264210,Velryssa,22,546131
GdR1r6pVwA9TWXbJ,264210,Psychodruid,20,468150
GdR1r6pVwA9TWXbJ,264210,Toy,37,880142
GdR1r6pVwA9TWXbJ,264210,Vaelyra,20,477534
KmVAr4DMhcvFjb3L,264210,Petrol,73,1820367
KmVAr4DMhcvFjb3L,264210,Katanescence,91,2268530
KmVAr4DMhcvFjb3L,264210,Tawn,48,1170854
KmVAr4DMhcvFjb3L,264210,Stradlock,59,1502422
KmVAr4DMhcvFjb3L,264210,Mythrose,59,1341143
KmVAr4DMhcvFjb3L,264210,Uuglei,90,2062888
KmVAr4DMhcvFjb3L,264210,Liavre,68,1721634
KmVAr4DMhcvFjb3L,264210,Acturus,42,999157
KmVAr4DMhcvFjb3L,264210,Shadowbaine,41,1046304
KmVAr4DMhcvFjb3L,264210,Metonymy,52,1307923
KmVAr4DMhcvFjb3L,264210,Ayriea,19,464960
KmVAr4DMhcvFjb3L,264210,Brian,77,1904835
KmVAr4DMhcvFjb3L,264210,Toy,88,2088998
KmVAr4DMhcvFjb3L,264210,Vampyric,98,2368771
KmVAr4DMhcvFjb3L,264210,Psychodruid,36,920205
KmVAr4DMhcvFjb3L,264210,Velryssa,40,974537
KmVAr4DMhcvFjb3L,264210,Illestra,102,2438667
KmVAr4DMhcvFjb3L,264210,Sumi,35,863095
nCLBA4NJHkKmzM37,264210,Ayriea,160,3970914
nCLBA4NJHkKmzM37,264210,Stradlock,221,5520324
nCLBA4NJHkKmzM37,264210,Psychodruid,127,3196329
nCLBA4NJHkKmzM37,264210,Toy,308,6799025
nCLBA4NJHkKmzM37,264210,Liavre,74,1857562
nCLBA4NJHkKmzM37,264210,Dough,295,7055061
nCLBA4NJHkKmzM37,264210,Velryssa,206,5138294
nCLBA4NJHkKmzM37,264210,Cagliostro,213,5069375
nCLBA4NJHkKmzM37,264210,Petrol,147,3730885
nCLBA4NJHkKmzM37,264210,Metonymy,148,3690637
nCLBA4NJHkKmzM37,264210,Katanescence,357,8757502
nCLBA4NJHkKmzM37,264210,Jampers,135,2994015
nCLBA4NJHkKmzM37,264210,Vaelyra,317,7285543
nCLBA4NJHkKmzM37,264210,Vampyric,234,5683985
nCLBA4NJHkKmzM37,264210,Brian,293,7313187
nCLBA4NJHkKmzM37,264210,Illestra,195,4509364
nCLBA4NJHkKmzM37,264210,Acturus,290,7095341
nCLBA4NJHkKmzM37,264210,Sumi,176,4407777
nCLBA4NJHkKmzM37,264210,Mythrose,236,5080219
nCLBA4NJHkKmzM37,264210,Shadowbaine,1,25844
NyMK6RVGtqaXH8wx,264210,Jampers,66,1464714
NyMK6RVGtqaXH8wx,264210,Vampyric,167,4095864
NyMK6RVGtqaXH8wx,264210,Toy,120,2838453
NyMK6RVGtqaXH8wx,264210,Ayriea,58,1491762
NyMK6RVGtqaXH8wx,264210,Liavre,189,4758419
NyMK6RVGtqaXH8wx,264210,Illestra,105,2600488
NyMK6RVGtqaXH8wx,264210,Tawn,32,792152
NyMK6RVGtqaXH8wx,264210,Psychodruid,27,665213
NyMK6RVGtqaXH8wx,264210,Velryssa,118,2924953
NyMK6RVGtqaXH8wx,264210,Metonymy,105,2646976
NyMK6RVGtqaXH8wx,264210,Sumi,73,1843515
NyMK6RVGtqaXH8wx,264210,Petrol,84,2137974
NyMK6RVGtqaXH8wx,264210,Cagliostro,201,5034842
NyMK6RVGtqaXH8wx,264210,Vaelyra,109,2663886
NyMK6RVGtqaXH8wx,264210,Acturus,172,4222430
NyMK6RVGtqaXH8wx,264210,Brian,127,3163582
NyMK6RVGtqaXH8wx,264210,Stradlock,69,1717361
NyMK6RVGtqaXH8wx,264210,Mythrose,92,2037734
RNq3d6kZcAbtfhzx,264210,Shadowbaine,12,289032
RNq3d6kZcAbtfhzx,264210,Liavre,125,3159563
RNq3d6kZcAbtfhzx,264210,Illestra,117,2807794
RNq3d6kZcAbtfhzx,264210,Velryssa,174,4344200
RNq3d6kZcAbtfhzx,264210,Mythrose,150,3270489
RNq3d6kZcAbtfhzx,264210,Psychodruid,52,1249530
RNq3d6kZcAbtfhzx,264210,Toy,111,2600361
RNq3d6kZcAbtfhzx,264210,Vaelyra,169,4021661
RNq3d6kZcAbtfhzx,264210,Ayriea,71,1767691
RNq3d6kZcAbtfhzx,264210,Acturus,203,4933360
RNq3d6kZcAbtfhzx,264210,Jampers,74,1554246
RNq3d6kZcAbtfhzx,264210,Stradlock,74,1821750
RNq3d6kZcAbtfhzx,264210,Sumi,100,2525610
RNq3d6kZcAbtfhzx,264210,Cagliostro,201,4843927
RNq3d6kZcAbtfhzx,264210,Brian,138,3384380
RNq3d6kZcAbtfhzx,264210,Petrol,76,1874575
RNq3d6kZcAbtfhzx,264210,Metonymy,49,1159716
RNq3d6kZcAbtfhzx,264210,Tawn,81,1966049
RNq3d6kZcAbtfhzx,264210,Vampyric,181,4389983
T3z8bj7yJxXwKDGL,264210,Cagliostro,13,329233
T3z8bj7yJxXwKDGL,264210,Petrol,12,308519
T3z8bj7yJxXwKDGL,264210,Jampers,2,41488
T3z8bj7yJxXwKDGL,264210,Acturus,12,299456
T3z8bj7yJxXwKDGL,264210,Tawn,6,150401
T3z8bj7yJxXwKDGL,264210,Vaelyra,12,298302
T3z8bj7yJxXwKDGL,264210,Brian,6,152130
T3z8bj7yJxXwKDGL,264210,Mythrose,6,126355
T3z8bj7yJxXwKDGL,264210,Kopyelock,12,307447
T3z8bj7yJxXwKDGL,264210,Vampyric,6,150197
T7xMvwtyG9YaP6k3,264210,Ayriea,6,155502
T7xMvwtyG9YaP6k3,264210,Stradlock,6,154286
T7xMvwtyG9YaP6k3,264210,Shadowbaine,6,154198
T7xMvwtyG9YaP6k3,264210,Psychodruid,6,148203
T7xMvwtyG9YaP6k3,264210,Tawn,15,368246
