player,hits,damage_taken,fight_count,primary_role,av_count
Petrol,15,2102365,118,rdps,0.1271186440677966
Vampyric,16,1747867,118,mdps,0.13559322033898305
Dough,6,801490,38,rdps,0.15789473684210525
Grombrindal,15,1857968,87,mdps,0.1724137931034483
Sumi,21,2927359,117,rdps,0.1794871794871795
Ayriea,21,2926356,110,rdps,0.19090909090909092
Metonymy,24,3382639,118,rdps,0.2033898305084746
Brian,25,3347369,114,mdps,0.21929824561403508
Vaelyra,25,3046220,111,mdps,0.22522522522522523
Kopyelock,3,437293,12,rdps,0.25
Acturus,31,4233248,117,healer,0.26495726495726496
Toy,27,3067242,95,mdps,0.28421052631578947
Tawn,24,3286301,80,rdps,0.3
Illestra,37,4757331,117,healer,0.3162393162393162
Jampers,24,3172169,75,healer,0.32
Katanescence,26,2878496,75,healer,0.3466666666666667
Uuglei,13,1521807,36,mdps,0.3611111111111111
Draigo,43,4963137,118,tank,0.3644067796610169
Stradlock,43,4957470,116,rdps,0.3706896551724138
Mythrose,40,4551096,106,healer,0.37735849056603776
Psychodruid,47,6289482,118,rdps,0.3983050847457627
Velryssa,40,5304450,100,mdps,0.4
Shadowbaine,22,2905861,52,rdps,0.4230769230769231
Earrl,55,5740837,118,tank,0.4661016949152542
Kiwisoda,3,424380,5,rdps,0.6
Liavre,57,7193950,89,mdps,0.6404494382022472
