player,damage_done,fight_count,primary_role,av_count
Illestra,81448,48.0,healer,1696.8333333333333
Jampers,544587,48.0,healer,11345.5625
Mythrose,613716,42.0,healer,14612.285714285714
Acturus,2276403,48.0,healer,47425.0625
Kiwisoda,8395687,38.0,rdps,220939.13157894736
Toy,23974930,48.0,mdps,499477.7083333333
Metonymy,29825350,48.0,rdps,621361.4583333334
Petrol,32546521,48.0,rdps,678052.5208333334
Earrl,40631849,48.0,tank,846496.8541666666
Uuglei,10169059,10.0,mdps,1016905.9
Vaelyra,50549300,48.0,mdps,1053110.4166666667
Kopyelock,45598398,38.0,rdps,1199957.8421052631
Ayriea,59061324,48.0,rdps,1230444.25
Sumi,61443146,48.0,rdps,1280065.5416666667
Liavre,20553738,16.0,mdps,1284608.625
Shadowbaine,63800287,48.0,rdps,1329172.6458333333
Velryssa,68289067,48.0,mdps,1422688.8958333333
Stradlock,70937340,48.0,rdps,1477861.25
Brian,71361808,48.0,mdps,1486704.3333333333
Grombrindal,63472267,42.0,mdps,1511244.4523809524
Draigo,97742062,48.0,tank,2036292.9583333333
Tawn,98748194,48.0,rdps,2057254.0416666667
