player,damage_done,fight_count,primary_role,av_count
Brian,211897485,48.0,mdps,4414530.9375
Liavre,67415018,16.0,mdps,4213438.625
Vaelyra,153925287,48.0,mdps,3206776.8125
Ayriea,149346905,48.0,rdps,3111393.8541666665
Sumi,146329691,48.0,rdps,3048535.2291666665
Metonymy,88031445,48.0,rdps,1833988.4375
Stradlock,86358328,48.0,rdps,1799131.8333333333
Kopyelock,66296395,38.0,rdps,1744641.9736842106
Petrol,80862003,48.0,rdps,1684625.0625
Grombrindal,70545372,42.0,mdps,1679651.7142857143
Shadowbaine,78954936,48.0,rdps,1644894.5
Velryssa,70589035,48.0,mdps,1470604.8958333333
Uuglei,10952907,10.0,mdps,1095290.7
Tawn,49007653,48.0,rdps,1020992.7708333334
Kiwisoda,29949229,38.0,rdps,788137.6052631579
Acturus,28486189,48.0,healer,593462.2708333334
Toy,22821254,48.0,mdps,475442.7916666667
Jampers,15694164,48.0,healer,326961.75
Illestra,15131158,48.0,healer,315232.4583333333
Earrl,13579495,48.0,tank,282906.1458333333
Draigo,8032529,48.0,tank,167344.35416666666
Mythrose,345833,42.0,healer,8234.119047619048
