log_id,spell_id,player,count
6JMd2cmzFk8Qa1gj,527,Jampers,4
81HkLmCMRdAg6rNJ,527,Jampers,19
81HkLmCMRdAg6rNJ,527,Mythrose,1
d3P97v4DpLHmyZkW,527,Jampers,4
nxf6krQP8Bvty9V2,527,Jampers,7
V8Nd6ntR4PZMmLQW,527,Mythrose,2
V8Nd6ntR4PZMmLQW,527,Jampers,5
6JMd2cmzFk8Qa1gj,32375,Jampers,2
6JMd2cmzFk8Qa1gj,32375,Katheals,6
81HkLmCMRdAg6rNJ,32375,Jampers,31
81HkLmCMRdAg6rNJ,32375,Mythrose,1
d3P97v4DpLHmyZkW,32375,Jampers,2
d3P97v4DpLHmyZkW,32375,Katheals,3
nxf6krQP8Bvty9V2,32375,Jampers,32
V8Nd6ntR4PZMmLQW,32375,Jampers,16
nxf6krQP8Bvty9V2,4987,Acturus,3
6JMd2cmzFk8Qa1gj,77130,Illestra,3
81HkLmCMRdAg6rNJ,77130,Illestra,13
d3P97v4DpLHmyZkW,77130,Illestra,2
nxf6krQP8Bvty9V2,77130,Illestra,5
