player,hits,fight_count,primary_role,av_count
Ayriea,13,73,rdps,0.1780821917808219
Brian,26,104,mdps,0.25
Psychodruid,27,105,rdps,0.2571428571428571
Jampers,30,105,healer,0.2857142857142857
Illestra,32,105,healer,0.3047619047619048
Kopyelock,32,105,rdps,0.3047619047619048
Vampyric,15,48,mdps,0.3125
Earrl,34,105,tank,0.3238095238095238
Petrol,35,105,rdps,0.3333333333333333
Acturus,36,105,healer,0.34285714285714286
Tawn,38,105,rdps,0.3619047619047619
Kiwisoda,32,88,rdps,0.36363636363636365
Sumi,39,105,rdps,0.37142857142857144
Shadowbaine,33,87,rdps,0.3793103448275862
Stradlock,17,44,rdps,0.38636363636363635
Mythrose,33,75,healer,0.44
Draigo,47,105,tank,0.44761904761904764
Katanescence,52,105,healer,0.49523809523809526
Uuglei,13,26,mdps,0.5
Grombrindal,54,97,mdps,0.5567010309278351
Toy,42,71,mdps,0.5915492957746479
Vaelyra,46,75,mdps,0.6133333333333333
Metonymy,76,105,rdps,0.7238095238095238
Liavre,54,42,mdps,1.2857142857142858
