log_id,spell_id,player,hits,damage_taken
1rnktHXvcTWD2JzL,273554,Liavre,28,2212411
1rnktHXvcTWD2JzL,273554,Petrol,4,314570
1rnktHXvcTWD2JzL,273554,Metonymy,14,1016521
1rnktHXvcTWD2JzL,273554,Psychodruid,3,225986
1rnktHXvcTWD2JzL,273554,Sumi,7,548745
1rnktHXvcTWD2JzL,273554,Acturus,16,1198792
1rnktHXvcTWD2JzL,273554,Mythrose,12,889666
1rnktHXvcTWD2JzL,273554,Vaelyra,10,670402
1rnktHXvcTWD2JzL,273554,Draigo,4,236739
1rnktHXvcTWD2JzL,273554,Ayriea,2,150277
1rnktHXvcTWD2JzL,273554,Tawn,5,372378
1rnktHXvcTWD2JzL,273554,Illestra,3,229660
1rnktHXvcTWD2JzL,273554,Toy,13,970947
1rnktHXvcTWD2JzL,273554,Grombrindal,10,778368
1rnktHXvcTWD2JzL,273554,Kopyelock,4,285780
1rnktHXvcTWD2JzL,273554,Brian,4,313646
1rnktHXvcTWD2JzL,273554,Shadowbaine,6,469932
1rnktHXvcTWD2JzL,273554,Earrl,7,421774
1rnktHXvcTWD2JzL,273554,Jampers,2,158851
1rnktHXvcTWD2JzL,273554,Katanescence,12,869460
96XVRq3ZJ2pGk1YC,273554,Katanescence,7,502852
96XVRq3ZJ2pGk1YC,273554,Draigo,14,766065
96XVRq3ZJ2pGk1YC,273554,Ayriea,4,323386
96XVRq3ZJ2pGk1YC,273554,Acturus,4,273726
96XVRq3ZJ2pGk1YC,273554,Kiwisoda,10,802426
96XVRq3ZJ2pGk1YC,273554,Tawn,10,764522
96XVRq3ZJ2pGk1YC,273554,Vampyric,8,544758
96XVRq3ZJ2pGk1YC,273554,Brian,3,238528
96XVRq3ZJ2pGk1YC,273554,Metonymy,17,1331580
96XVRq3ZJ2pGk1YC,273554,Kopyelock,11,785394
96XVRq3ZJ2pGk1YC,273554,Grombrindal,14,1114932
96XVRq3ZJ2pGk1YC,273554,Sumi,7,575872
96XVRq3ZJ2pGk1YC,273554,Earrl,10,651351
96XVRq3ZJ2pGk1YC,273554,Petrol,11,873520
96XVRq3ZJ2pGk1YC,273554,Uuglei,13,1019338
96XVRq3ZJ2pGk1YC,273554,Jampers,7,555676
96XVRq3ZJ2pGk1YC,273554,Psychodruid,6,467087
96XVRq3ZJ2pGk1YC,273554,Mythrose,10,783010
96XVRq3ZJ2pGk1YC,273554,Shadowbaine,10,774726
96XVRq3ZJ2pGk1YC,273554,Illestra,7,516094
d3P97v4DpLHmyZkW,273554,Sumi,4,335395
d3P97v4DpLHmyZkW,273554,Vaelyra,9,628963
d3P97v4DpLHmyZkW,273554,Draigo,4,230078
d3P97v4DpLHmyZkW,273554,Petrol,4,315051
d3P97v4DpLHmyZkW,273554,Tawn,2,157284
d3P97v4DpLHmyZkW,273554,Psychodruid,1,81064
d3P97v4DpLHmyZkW,273554,Stradlock,1,85482
d3P97v4DpLHmyZkW,273554,Earrl,1,70008
d3P97v4DpLHmyZkW,273554,Katanescence,4,264784
d3P97v4DpLHmyZkW,273554,Kiwisoda,4,331500
d3P97v4DpLHmyZkW,273554,Velryssa,5,405069
d3P97v4DpLHmyZkW,273554,Illestra,3,239261
d3P97v4DpLHmyZkW,273554,Brian,8,621432
d3P97v4DpLHmyZkW,273554,Jampers,4,324281
d3P97v4DpLHmyZkW,273554,Ayriea,2,162422
d3P97v4DpLHmyZkW,273554,Toy,2,139386
d3P97v4DpLHmyZkW,273554,Acturus,2,145751
d3P97v4DpLHmyZkW,273554,Kopyelock,1,80659
