player,damage_taken,fight_count,primary_role,av_count
Earrl,1522113,262,tank,5809.591603053435
Stradivarus,3668173,251,damage,14614.235059760957
Divanance,5961565,262,tank,22754.064885496184
Shallowfall,12260285,262,damage,46794.98091603054
Au,9179723,191,damage,48061.37696335078
Acturus,19234342,262,healer,73413.51908396947
Zephyyra,459523650,67,healer,6858561.940298508
Pulsè,1191200412,143,damage,8330072.811188811
Brian,2367412089,262,damage,9035924.003816795
Psychodruid,1826819463,200,damage,9134097.315
Illestra,2307800145,243,healer,9497119.938271604
Metonymy,2492929461,262,damage,9514997.942748092
Future,2377523024,238,damage,9989592.537815126
Èllipses,1701939965,170,damage,10011411.55882353
Daffy,1480675747,146,healer,10141614.705479452
Ayriea,2456603840,240,damage,10235849.333333334
Petrol,2706142238,262,damage,10328787.16793893
Mythrose,2795586408,262,healer,10670177.129770992
Radiantldeal,2672781616,243,healer,10999101.300411522
Shadowbaine,2337224698,211,damage,11076894.303317536
