player,damage_taken,fight_count,primary_role,av_count
Earrl,2656701860,636,tank,4177204.182389937
Divanance,5471355041,664,tank,8239992.531626506
Vaelyra,5441929111,654,damage,8320992.524464832
Brian,5786696237,659,damage,8781026.156297421
Psychodruid,6290532429,637,damage,9875247.141287284
Ayriea,6658859478,668,damage,9968352.511976048
Illestra,6605776396,661,healer,9993610.281391831
Tawñ,5229827555,520,damage,10057360.682692308
Radiantldeal,6697246891,639,healer,10480824.555555556
Mythrose,6952650540,643,healer,10812831.32192846
Shadowbaine,7170998469,658,damage,10898173.965045592
Uuglei,4677935426,423,damage,11058948.997635935
Metonymy,7615089464,666,damage,11434068.264264265
Cagliostro,7272236907,606,damage,12000390.935643565
Velryssa,6005845838,491,damage,12231865.250509165
Acturus,7987029078,651,healer,12268861.870967742
Stradivarus,5479538361,445,damage,12313569.350561798
Petrol,8495024499,668,damage,12717102.543413173
Shallowfall,9037841904,513,damage,17617625.54385965
