player,damage_done,fight_count,primary_role,av_count
Stradivarus,3681478174,110,damage,33467983.4
Petrol,8971658078,288,damage,31151590.548611112
Metonymy,8642856799,288,damage,30009919.440972224
Tawñ,8355255755,285,damage,29316686.85964912
Velsummers,6407306180,220,damage,29124119.0
Radiantldeal,7463213143,261,healer,28594686.37164751
Shadowbaine,7139302804,284,damage,25138390.15492958
Velryssa,4515488323,215,damage,21002271.26976744
Brian,5936543029,283,damage,20977183.848056536
Eleint,4150751921,220,damage,18867054.186363637
Uuglei,2852290524,199,damage,14333118.211055277
Ayriea,3392212962,291,damage,11657089.216494845
Psychodruid,2902505968,259,damage,11206586.74903475
Cagliostro,3001590132,269,damage,11158327.628252788
Vaelyra,2875019737,288,damage,9982707.420138888
Earrl,471744653,260,tank,1814402.5115384615
Shallowfall,261717407,165,damage,1586166.103030303
Mythrose,268379437,266,healer,1008945.2518796993
Divanance,172143019,289,tank,595650.5847750865
Illestra,153369208,283,healer,541940.664310954
Acturus,48826930,275,healer,177552.47272727272
Shaami,9629513,254,healer,37911.46850393701
