player,count,fight_count,primary_role,av_count
Tawn,19.0,5,rdps,3.8
Divinance,32.0,11,tank,2.909090909090909
Ayriea,17.0,7,rdps,2.4285714285714284
Tahvee,16.0,7,rdps,2.2857142857142856
Petroll,25.0,11,rdps,2.272727272727273
Metönymy,22.0,11,rdps,2.0
Soome,10.0,5,rdps,2.0
Valmet,21.0,11,mdps,1.9090909090909092
Toyqt,19.0,10,mdps,1.9
Elzam,12.0,7,mdps,1.7142857142857142
Psychodruid,11.0,7,rdps,1.5714285714285714
Kohbee,9.0,6,rdps,1.5
Brianjr,14.0,10,mdps,1.4
Irvaeryss,8.0,7,mdps,1.1428571428571428
Earrl,10.0,11,tank,0.9090909090909091
Stradivarus,3.0,4,rdps,0.75
Atalya,2.0,3,mdps,0.6666666666666666
Illestrae,5.0,9,healer,0.5555555555555556
Velryssa,5.0,10,mdps,0.5
Shadowbaine,0.0,9,rdps,0.0
Mythroes,0.0,9,healer,0.0
Kopyedeep,0.0,10,rdps,0.0
Jampers,0.0,10,healer,0.0
Ultray,0.0,5,rdps,0.0
Caydd,0.0,7,healer,0.0
Acturus,0.0,11,healer,0.0
