player,count,fight_count,primary_role,av_count
Petroll,598.0,51,rdps,11.72549019607843
Illestrae,462.0,51,healer,9.058823529411764
Jampers,421.0,51,healer,8.254901960784315
Metönymy,385.0,51,rdps,7.549019607843137
Tawn,277.0,47,rdps,5.8936170212765955
Mythroes,0.0,36,healer,0.0
Valmet,0.0,43,mdps,0.0
Ultray,0.0,48,rdps,0.0
Toyqt,0.0,41,mdps,0.0
Tahvee,0.0,19,rdps,0.0
Stradivarus,0.0,33,rdps,0.0
Soome,0.0,2,rdps,0.0
Shadowbaine,0.0,51,rdps,0.0
Psychodruid,0.0,26,rdps,0.0
Acturus,0.0,51,healer,0.0
Atalya,0.0,3,mdps,0.0
Kopyedeep,0.0,45,rdps,0.0
Kohbee,0.0,40,rdps,0.0
Irvaeryss,0.0,51,mdps,0.0
Elzam,0.0,42,mdps,0.0
Earrl,0.0,51,tank,0.0
Divinance,0.0,51,tank,0.0
Caydd,0.0,29,healer,0.0
Brianjr,0.0,48,mdps,0.0
Ayriea,0.0,50,rdps,0.0
Velryssa,0.0,9,mdps,0.0
