player,hits,damage_taken,fight_count,primary_role,av_count
Ayriea,6.0,610658.0,50,rdps,0.12
Stradivarus,6.0,725958.0,33,rdps,0.18181818181818182
Metönymy,14.0,1580857.0,51,rdps,0.27450980392156865
Jampers,16.0,1530495.0,51,healer,0.3137254901960784
Petroll,16.0,1918415.0,51,rdps,0.3137254901960784
Ultray,17.0,1970383.0,48,rdps,0.3541666666666667
Shadowbaine,19.0,2140916.0,51,rdps,0.37254901960784315
Mythroes,14.0,1613090.0,36,healer,0.3888888888888889
Illestrae,22.0,2109869.0,51,healer,0.43137254901960786
Irvaeryss,24.0,2379693.0,51,mdps,0.47058823529411764
Elzam,20.0,1821860.0,42,mdps,0.47619047619047616
Caydd,14.0,1337643.0,29,healer,0.4827586206896552
Tawn,23.0,2714486.0,47,rdps,0.48936170212765956
Kohbee,20.0,2066227.0,40,rdps,0.5
Kopyedeep,23.0,2513725.0,45,rdps,0.5111111111111111
Acturus,28.0,2085786.0,51,healer,0.5490196078431373
Valmet,25.0,2470826.0,43,mdps,0.5813953488372093
Brianjr,29.0,3163238.0,48,mdps,0.6041666666666666
Psychodruid,16.0,1415562.0,26,rdps,0.6153846153846154
Earrl,32.0,1746845.0,51,tank,0.6274509803921569
Divinance,32.0,946687.0,51,tank,0.6274509803921569
Toyqt,33.0,2615621.0,41,mdps,0.8048780487804879
