player,hits,damage_taken,fight_count,primary_role,av_count
Stradivarus,10,48340726,60,damage,0.16666666666666666
Ayriea,15,66656233,67,damage,0.22388059701492538
Divanance,18,54506495,69,tank,0.2608695652173913
Future,17,70075937,63,damage,0.2698412698412698
Daffy,4,16101287,14,healer,0.2857142857142857
Mythrose,20,86866807,69,healer,0.2898550724637681
Cagliostro,19,81291669,64,damage,0.296875
Èllipses,11,44678202,37,damage,0.2972972972972973
Earrl,22,62309580,69,tank,0.3188405797101449
Petrol,22,99278345,69,damage,0.3188405797101449
Brian,26,112594798,69,damage,0.37681159420289856
Pulsè,24,98284099,63,damage,0.38095238095238093
Metonymy,27,120014128,69,damage,0.391304347826087
Vaelyra,26,96689261,64,damage,0.40625
Shadowbaine,31,142729772,69,damage,0.4492753623188406
Acturus,30,130878666,63,healer,0.47619047619047616
Illestra,34,136294164,69,healer,0.4927536231884058
Radiantldeal,32,127034299,64,healer,0.5
Kyarrix,19,78226368,28,damage,0.6785714285714286
Velryssa,30,129001368,38,damage,0.7894736842105263
Tinytiki,8,34160433,10,damage,0.8
Shallowfall,51,160014216,61,damage,0.8360655737704918
Psychodruid,49,195970532,56,damage,0.875
Au,35,129899409,40,damage,0.875
