player,duration,fight_count,primary_role,av_count
Petrol,15103307,49,damage,5.1371792517006805
Metonymy,9949922,48,damage,3.454834027777778
Ayriea,8304100,43,damage,3.218643410852713
Shadowbaine,6628025,38,damage,2.90702850877193
Future,6604258,48,damage,2.2931451388888893
Èllipses,3551615,26,damage,2.2766762820512825
Kyarrix,1542081,12,damage,2.141779166666667
Brian,5625392,49,damage,1.9133986394557823
Pulsè,852793,8,damage,1.7766520833333332
Undertakerop,175560,2,damage,1.463
Bryiah,1297521,15,damage,1.44169
Psychodruid,3096711,41,damage,1.2588256097560977
Tinytiki,2433008,34,damage,1.1926509803921568
Kamer,744238,19,damage,0.652840350877193
Stradivarus,196577,7,damage,0.46804047619047623
Shallowfall,949497,45,damage,0.35166555555555556
Au,480556,27,damage,0.29663950617283946
Radiantldeal,439084,47,healer,0.1557035460992908
Illestra,297996,47,healer,0.1056723404255319
Velryssa,125203,38,damage,0.05491359649122807
Acturus,153998,49,healer,0.05238027210884354
