player,damage_done,fight_count,primary_role,av_count
Stradlock,80373848,101,rdps,795780.6732673268
Kopyelock,60592756,77,rdps,786918.9090909091
Toy,65576811,98,mdps,669151.1326530612
Tawn,62999867,98,rdps,642855.7857142857
Vaelyra,65416346,102,mdps,641336.725490196
Psychodruid,48659909,76,rdps,640261.9605263158
Liavre,31563191,53,mdps,595531.9056603773
Vampyric,60605018,102,mdps,594166.8431372549
Brian,43572922,76,mdps,573327.9210526316
Petrol,57573060,102,rdps,564441.7647058824
Grombrindal,36501868,72,mdps,506970.3888888889
Metonymy,51460114,102,rdps,504510.92156862747
Shadowbaine,38535802,100,rdps,385358.02
Ayriea,30239721,101,rdps,299403.17821782175
Sumi,28888817,102,rdps,283223.6960784314
Acturus,8662006,102,healer,84921.62745098039
Jampers,2973888,98,healer,30345.79591836735
Mythrose,908989,62,healer,14661.112903225807
Draigo,1373075,102,tank,13461.519607843138
Illestra,341429,44,healer,7759.75
Katanescence,287640,102,healer,2820.0
Earrl,166136,102,tank,1628.7843137254902
