player,uses,fight_count,primary_role,av_count
Tawn,314,285,rdps,1.1017543859649124
Mythrose,310,289,healer,1.0726643598615917
Toy,250,244,mdps,1.0245901639344261
Velsummers,257,271,healer,0.948339483394834
Psychodruid,269,293,rdps,0.9180887372013652
Jampers,264,293,healer,0.9010238907849829
Brian,258,296,mdps,0.8716216216216216
Kopyelock,251,295,rdps,0.8508474576271187
Illestra,238,295,healer,0.8067796610169492
Ayriea,236,296,rdps,0.7972972972972973
Acturus,205,258,healer,0.7945736434108527
Vaelyra,137,184,mdps,0.7445652173913043
Petrol,212,296,rdps,0.7162162162162162
Stradlock,157,225,rdps,0.6977777777777778
Vampyric,140,224,mdps,0.625
Shadowbaine,175,291,rdps,0.6013745704467354
Metonymy,139,295,rdps,0.4711864406779661
Draigo,134,296,tank,0.4527027027027027
Velryssa,120,292,mdps,0.410958904109589
Uuglei,25,68,mdps,0.36764705882352944
Grombrindal,92,296,mdps,0.3108108108108108
Earrl,69,295,tank,0.23389830508474577
